stage_id,sub_track_id,sub_track_name,stage_order,stage_name,stage_level,stage_category,upstream_stage_id,downstream_stage_id
STG_004_001,SUB_004,光显示,1,显示材料/外延/衬底,上游,核心材料,,STG_004_002
STG_004_002,SUB_004,光显示,2,显示芯片,上游,核心器件,STG_004_001,STG_004_003
STG_004_003,SUB_004,光显示,3,背板/驱动/控制芯片,上游,驱动控制,STG_004_002,STG_004_004
STG_004_004,SUB_004,光显示,4,光学结构件与配套器件,上游,光学配套,STG_004_003,STG_004_005
STG_004_005,SUB_004,光显示,5,封装/键合/转移工艺,中游,关键工艺,STG_004_004,STG_004_006
STG_004_006,SUB_004,光显示,6,模组集成与校准,中游,模组集成,STG_004_005,STG_004_007
STG_004_007,SUB_004,光显示,7,显示整机与系统方案,中游,系统方案,STG_004_006,STG_004_008
STG_004_008,SUB_004,光显示,8,AR/VR微显示应用,下游,应用场景,STG_004_007,STG_004_009
STG_004_009,SUB_004,光显示,9,车载与高端显示应用,下游,应用场景,STG_004_008,STG_004_010
STG_004_010,SUB_004,光显示,10,大屏与专业显示应用,下游,应用场景,STG_004_009,
STG_005_001,SUB_005,光计算,1,光计算材料与工艺平台,上游,基础平台,,STG_005_002
STG_005_002,SUB_005,光计算,2,光计算核心器件,上游,核心器件,STG_005_001,STG_005_003
STG_005_003,SUB_005,光计算,3,光计算/光交换芯片,上游,核心芯片,STG_005_002,STG_005_004
STG_005_004,SUB_005,光计算,4,高速互连与封装模块,中游,互连封装,STG_005_003,STG_005_005
STG_005_005,SUB_005,光计算,5,板级/系统级集成,中游,系统集成,STG_005_004,STG_005_006
STG_005_006,SUB_005,光计算,6,光电混合计算平台,中游,平台系统,STG_005_005,STG_005_007
STG_005_007,SUB_005,光计算,7,AI集群与数据中心应用,下游,应用场景,STG_005_006,STG_005_008
STG_005_008,SUB_005,光计算,8,科学计算与专用算力应用,下游,应用场景,STG_005_007,
STG_006_001,SUB_006,光融合（量子光学新原理）,1,量子光学原理与核心材料,上游,原理/材料,,STG_006_002
STG_006_002,SUB_006,光融合（量子光学新原理）,2,量子/超灵敏光学器件,上游,核心器件,STG_006_001,STG_006_003
STG_006_003,SUB_006,光融合（量子光学新原理）,3,新原理成像/探测模组,中游,模组系统,STG_006_002,STG_006_004
STG_006_004,SUB_006,光融合（量子光学新原理）,4,融合感知与控制平台,中游,平台系统,STG_006_003,STG_006_005
STG_006_005,SUB_006,光融合（量子光学新原理）,5,科研平台与高端仪器应用,下游,应用场景,STG_006_004,STG_006_006
STG_006_006,SUB_006,光融合（量子光学新原理）,6,特种感知与前沿产业应用,下游,应用场景,STG_006_005,
