legacy_scenario_id,legacy_scenario_name,candidate_application_scenario_id,candidate_application_scenario_name,confidence,review_status,review_notes
SCN_D1DDC82C5D3E,地铁障碍物检测,ASCN_MV_004,汽车制造检测,0.20,建议不映射,属于交通安防检测任务而非当前统一下游应用场景
SCN_264071B0A29D,科研实验中的超快时间探测与极限灵敏度成像,ASCN_MV_002,半导体检测,0.15,建议不映射,科研实验场景不等于当前产业下游应用场景
SCN_10BDC7263005,工业在线监测（焊接,ASCN_MV_006,医药/食品/物流视觉应用,0.10,建议不映射,更像工艺监测任务
SCN_677ACE9F46CC,透雾,ASCN_MV_006,医药/食品/物流视觉应用,0.05,建议不映射,属于成像能力效果，不是下游应用场景
SCN_95A0D0DD180A,红外成像与测量设备供应,ASCN_MV_006,医药/食品/物流视觉应用,0.10,建议不映射,偏供给描述，不是应用场景
SCN_AC32DAEF4425,工业产品外观缺陷的自动化精密检测,ASCN_MV_001,消费电子检测,0.55,候选待复核,可作为工业检测场景候选但仍需人工判断落点
SCN_FE70BD322372,显示面板等的外观检测。,ASCN_MV_003,面板检测,0.88,候选待复核,高置信可确认
SCN_B3A4D2021BF8,汽车智能座舱,ASCN_MV_004,汽车制造检测,0.45,候选待复核,更偏应用对象，需确认是否纳入制造检测口径
SCN_4421AEC03191,光芯片和电芯片的后道制造环节,ASCN_OC_002,AI集群互联,0.05,建议不映射,这是制造环节不是下游应用场景
SCN_6E3DBADA9DE0,光通信光源。,ASCN_OC_001,数据中心互联,0.05,建议不映射,这是器件方向不是应用场景
SCN_1C7EA28933E2,企业和政府层面的碳达峰碳中和信息化平台。,ASCN_OC_004,接入与园区网络,0.15,建议不映射,属于平台应用领域但不在当前三条链统一场景口径内
SCN_ED3C85605016,卫星测运控服务,ASCN_OC_003,电信承载网,0.20,候选待复核,可暂作光通信应用层近似候选但需单独规则
SCN_B61DF3452DF1,1. 星间激光通信：用于卫星高速运动下的激光束高精度跟踪瞄准。2. 航空航天,ASCN_OC_003,电信承载网,0.20,建议不映射,更适合未来商业航天口径
SCN_90F7446DA084,高端手机,ASCN_LA_002,消费电子制造,0.60,候选待复核,消费电子终端对象可近似映射制造场景
SCN_DF0203CD8E39,显示器,ASCN_LA_002,消费电子制造,0.50,候选待复核,终端对象可近似映射
SCN_3680737CE8C2,无创健康监测,ASCN_LA_006,医疗器械与其他高端制造,0.35,候选待复核,偏应用终端而非制造过程
SCN_7D73A1DB8C06,医疗红外行业应用,ASCN_LA_006,医疗器械与其他高端制造,0.45,候选待复核,可近似但需人工确认
