start_id,end_id,confidence,source,enterprise_name,sub_track_name
ENT_6B8742C937DE,SUB_003,0.93,企业-子赛道映射表.csv,西安中科光凝科技有限公司,激光加工/光学装备
ENT_0EEE5F4580B9,SUB_001,0.89,企业-子赛道映射表.csv,西湖智能视觉科技（杭州）有限公司,光学检测/机器视觉
ENT_2E925683CAA7,SUB_001,0.79,企业-子赛道映射表.csv,中智科仪（北京）科技有限公司,光学检测/机器视觉
ENT_203143C4EA39,SUB_002,0.91,企业-子赛道映射表.csv,徐州光引科技发展有限公司,光通信/光模块
ENT_E8D622C209F2,SUB_001,0.97,企业-子赛道映射表.csv,中科慧远视觉技术（洛阳）有限公司,光学检测/机器视觉
ENT_0D0600D360F2,SUB_002,0.86,企业-子赛道映射表.csv,西安中科天塔科技股份有限公司,光通信/光模块
ENT_48510E2FE34E,SUB_002,0.82,企业-子赛道映射表.csv,光宇元芯（杭州）光电有限责任公司,光通信/光模块
ENT_09B9A1BA69E6,SUB_001,0.81,企业-子赛道映射表.csv,西安中科立德红外科技有限公司,光学检测/机器视觉
ENT_D77802019100,SUB_002,0.76,企业-子赛道映射表.csv,西安朗威科技有限公司,光通信/光模块
ENT_D77802019100,SUB_003,0.76,企业-子赛道映射表.csv,西安朗威科技有限公司,激光加工/光学装备
ENT_8C03F68046C7,SUB_002,0.94,企业-子赛道映射表.csv,镭神技术（深圳）有限公司,光通信/光模块
ENT_8C03F68046C7,SUB_003,0.94,企业-子赛道映射表.csv,镭神技术（深圳）有限公司,激光加工/光学装备
