"start_id","start_label","end_id","end_label","relation_type","confidence","source"
"ENT_D7C120A97FCC","Enterprise","KCAP_LA_001","KeyCapability","HAS_KEY_CAPABILITY","0.93","enterprise_mapping_v1+legacy_enterprise_id_map"
"ENT_D7C120A97FCC","Enterprise","KCAP_LA_003","KeyCapability","HAS_KEY_CAPABILITY","0.90","enterprise_mapping_v1+legacy_enterprise_id_map"
"ENT_0EEE5F4580B9","Enterprise","KCAP_MV_001","KeyCapability","HAS_KEY_CAPABILITY","0.86","enterprise_mapping_v1+legacy_enterprise_id_map"
"ENT_0EEE5F4580B9","Enterprise","KCAP_MV_002","KeyCapability","HAS_KEY_CAPABILITY","0.82","enterprise_mapping_v1+legacy_enterprise_id_map"
"ENT_2E925683CAA7","Enterprise","KCAP_MV_001","KeyCapability","HAS_KEY_CAPABILITY","0.79","enterprise_mapping_v1+legacy_enterprise_id_map"
"ENT_203143C4EA39","Enterprise","KCAP_OC_001","KeyCapability","HAS_KEY_CAPABILITY","0.80","enterprise_mapping_v1+legacy_enterprise_id_map"
"ENT_E8D622C209F2","Enterprise","KCAP_MV_002","KeyCapability","HAS_KEY_CAPABILITY","0.95","enterprise_mapping_v1+legacy_enterprise_id_map"
"ENT_E8D622C209F2","Enterprise","KCAP_MV_001","KeyCapability","HAS_KEY_CAPABILITY","0.88","enterprise_mapping_v1+legacy_enterprise_id_map"
"ENT_E8D622C209F2","Enterprise","KCAP_MV_005","KeyCapability","HAS_KEY_CAPABILITY","0.90","enterprise_mapping_v1+legacy_enterprise_id_map"
"ENT_0D0600D360F2","Enterprise","KCAP_OC_006","KeyCapability","HAS_KEY_CAPABILITY","0.76","enterprise_mapping_v1+legacy_enterprise_id_map"
"ENT_48510E2FE34E","Enterprise","KCAP_OC_001","KeyCapability","HAS_KEY_CAPABILITY","0.73","enterprise_mapping_v1+legacy_enterprise_id_map"
"ENT_09B9A1BA69E6","Enterprise","KCAP_MV_001","KeyCapability","HAS_KEY_CAPABILITY","0.81","enterprise_mapping_v1+legacy_enterprise_id_map"
"ENT_D77802019100","Enterprise","KCAP_OC_006","KeyCapability","HAS_KEY_CAPABILITY","0.71","enterprise_mapping_v1+legacy_enterprise_id_map"
"ENT_D77802019100","Enterprise","KCAP_LA_002","KeyCapability","HAS_KEY_CAPABILITY","0.70","enterprise_mapping_v1+legacy_enterprise_id_map"
"ENT_8C03F68046C7","Enterprise","KCAP_OC_004","KeyCapability","HAS_KEY_CAPABILITY","0.95","enterprise_mapping_v1+legacy_enterprise_id_map"
