stage_id,sub_track_id,sub_track_name,stage_order,stage_name,stage_level,stage_category,upstream_stage_id,downstream_stage_id
STG_MV_001,SUB_001,光学检测/机器视觉,1,工业光源与照明控制,上游,核心部件,,STG_MV_002
STG_MV_002,SUB_001,光学检测/机器视觉,2,镜头与光学成像部件,上游,核心部件,STG_MV_001,STG_MV_003
STG_MV_003,SUB_001,光学检测/机器视觉,3,工业相机与图像传感器,上游,核心部件,STG_MV_002,STG_MV_004
STG_MV_004,SUB_001,光学检测/机器视觉,4,图像采集与接口部件,上游,基础硬件,STG_MV_003,STG_MV_004B
STG_MV_004B,SUB_001,光学检测/机器视觉,5,边缘计算与控制单元,上游,基础硬件,STG_MV_004,STG_MV_005
STG_MV_005,SUB_001,光学检测/机器视觉,6,运动控制与执行配套,中游,集成配套,STG_MV_004B,STG_MV_006
STG_MV_006,SUB_001,光学检测/机器视觉,7,视觉算法平台,中游,软件/算法,STG_MV_005,STG_MV_007
STG_MV_007,SUB_001,光学检测/机器视觉,8,标准视觉系统方案,中游,系统方案,STG_MV_006,STG_MV_008
STG_MV_008,SUB_001,光学检测/机器视觉,9,专用检测设备,中游,设备,STG_MV_007,STG_MV_009
STG_MV_009,SUB_001,光学检测/机器视觉,10,整线集成与行业解决方案,中游,集成/交付,STG_MV_008,STG_MV_010
STG_MV_010,SUB_001,光学检测/机器视觉,11,运维调优与持续优化,中游,服务,STG_MV_009,
STG_OC_001,SUB_002,光通信/光模块,1,光电芯片（裸芯片/晶圆级）,上游,核心器件,,STG_OC_002
STG_OC_002,SUB_002,光通信/光模块,2,有源器件（封装后组件）,上游,核心器件,STG_OC_001,STG_OC_003
STG_OC_003,SUB_002,光通信/光模块,3,无源器件,上游,核心器件,STG_OC_002,STG_OC_004
STG_OC_004,SUB_002,光通信/光模块,4,结构件/材料,上游,配套材料,STG_OC_003,STG_OC_005
STG_OC_005,SUB_002,光通信/光模块,5,测试与制造设备,上游,制造支撑,STG_OC_004,STG_OC_006
STG_OC_006,SUB_002,光通信/光模块,6,模块方案设计,中游,设计,STG_OC_005,STG_OC_007
STG_OC_007,SUB_002,光通信/光模块,7,光引擎/器件集成,中游,集成,STG_OC_006,STG_OC_008
STG_OC_008,SUB_002,光通信/光模块,8,模块封装组装,中游,制造,STG_OC_007,STG_OC_009
STG_OC_009,SUB_002,光通信/光模块,9,模块测试校准,中游,测试,STG_OC_008,STG_OC_010
STG_OC_010,SUB_002,光通信/光模块,10,量产管理与供应链交付,中游,量产/交付,STG_OC_009,
STG_LA_001,SUB_003,激光加工/光学装备,1,激光器与激光源,上游,核心器件,,STG_LA_002
STG_LA_002,SUB_003,激光加工/光学装备,2,光学器件与光路部件,上游,核心器件,STG_LA_001,STG_LA_003
STG_LA_003,SUB_003,激光加工/光学装备,3,振镜/加工头/执行单元,上游,核心部件,STG_LA_002,STG_LA_004
STG_LA_004,SUB_003,激光加工/光学装备,4,数控/控制系统/工业软件,上游,控制系统,STG_LA_003,STG_LA_005
STG_LA_005,SUB_003,激光加工/光学装备,5,激光装备专用运动平台与精密机械结构,上游,平台基础,STG_LA_004,STG_LA_006
STG_LA_006,SUB_003,激光加工/光学装备,6,标准激光加工设备（通用型/规格标准化/批量销售）,中游,标准设备,STG_LA_005,STG_LA_007
STG_LA_007,SUB_003,激光加工/光学装备,7,高端/专用光学装备（定制化/特定工艺/高技术壁垒）,中游,专用设备,STG_LA_006,STG_LA_008
STG_LA_008,SUB_003,激光加工/光学装备,8,自动化集成与单元化设备（单工位/单工序自动化单元）,中游,自动化集成,STG_LA_007,STG_LA_009
STG_LA_009,SUB_003,激光加工/光学装备,9,整线方案与工艺交付（多工序联动/含工艺包/完整产线）,中游,交付/方案,STG_LA_008,STG_LA_010
STG_LA_010,SUB_003,激光加工/光学装备,10,维护升级与持续工艺优化,中游,服务,STG_LA_009,
STG_004_001,SUB_004,光显示,1,显示材料/外延/衬底,上游,核心材料,,STG_004_002
STG_004_002,SUB_004,光显示,2,显示芯片,上游,核心器件,STG_004_001,STG_004_003
STG_004_003,SUB_004,光显示,3,背板/驱动/控制芯片,上游,驱动控制,STG_004_002,STG_004_004
STG_004_004,SUB_004,光显示,4,光学结构件与配套器件,上游,光学配套,STG_004_003,STG_004_005
STG_004_005,SUB_004,光显示,5,封装/键合/转移工艺,中游,关键工艺,STG_004_004,STG_004_006
STG_004_006,SUB_004,光显示,6,模组集成与校准,中游,模组集成,STG_004_005,STG_004_007
STG_004_007,SUB_004,光显示,7,显示整机与系统方案,中游,系统方案,STG_004_006,
STG_005_001,SUB_005,光计算,1,光计算材料与工艺平台,上游,基础平台,,STG_005_002
STG_005_002,SUB_005,光计算,2,光计算基础材料与无源器件,上游,核心器件,STG_005_001,STG_005_003
STG_005_003,SUB_005,光计算,3,光计算/光交换芯片,上游,核心芯片,STG_005_002,STG_005_004
STG_005_004,SUB_005,光计算,4,高速互连与封装模块,中游,互连封装,STG_005_003,STG_005_005
STG_005_005,SUB_005,光计算,5,板级/系统级集成,中游,系统集成,STG_005_004,STG_005_006
STG_005_006,SUB_005,光计算,6,光电混合计算平台,中游,平台系统,STG_005_005,
STG_006_001,SUB_006,光融合（量子光学新原理）,1,量子光学原理与核心材料,上游,原理/材料,,STG_006_002
STG_006_002,SUB_006,光融合（量子光学新原理）,2,量子/超灵敏光学器件,上游,核心器件,STG_006_001,STG_006_003
STG_006_003,SUB_006,光融合（量子光学新原理）,3,新原理成像/探测模组,中游,模组系统,STG_006_002,STG_006_004
STG_006_004,SUB_006,光融合（量子光学新原理）,4,融合感知与控制平台,中游,平台系统,STG_006_003,
