start_id,start_label,end_id,end_label,relation_type,confidence,source
ENT_6B8742C937DE,Enterprise,SUB_003,SubTrack,FOCUSES_ON_SUB_TRACK,0.93,enterprise_mapping_v1+legacy_enterprise_id_map
ENT_0EEE5F4580B9,Enterprise,SUB_001,SubTrack,FOCUSES_ON_SUB_TRACK,0.89,enterprise_mapping_v1+legacy_enterprise_id_map
ENT_2E925683CAA7,Enterprise,SUB_001,SubTrack,FOCUSES_ON_SUB_TRACK,0.79,enterprise_mapping_v1+legacy_enterprise_id_map
ENT_203143C4EA39,Enterprise,SUB_002,SubTrack,FOCUSES_ON_SUB_TRACK,0.91,enterprise_mapping_v1+legacy_enterprise_id_map
ENT_E8D622C209F2,Enterprise,SUB_001,SubTrack,FOCUSES_ON_SUB_TRACK,0.97,enterprise_mapping_v1+legacy_enterprise_id_map
ENT_0D0600D360F2,Enterprise,SUB_002,SubTrack,FOCUSES_ON_SUB_TRACK,0.86,enterprise_mapping_v1+legacy_enterprise_id_map
ENT_48510E2FE34E,Enterprise,SUB_002,SubTrack,FOCUSES_ON_SUB_TRACK,0.82,enterprise_mapping_v1+legacy_enterprise_id_map
ENT_09B9A1BA69E6,Enterprise,SUB_001,SubTrack,FOCUSES_ON_SUB_TRACK,0.81,enterprise_mapping_v1+legacy_enterprise_id_map
ENT_D77802019100,Enterprise,SUB_002,SubTrack,FOCUSES_ON_SUB_TRACK,0.76,enterprise_mapping_v1+legacy_enterprise_id_map
ENT_8C03F68046C7,Enterprise,SUB_002,SubTrack,FOCUSES_ON_SUB_TRACK,0.94,enterprise_mapping_v1+legacy_enterprise_id_map
ENT_337B26DB83F2,Enterprise,SUB_002,SubTrack,FOCUSES_ON_SUB_TRACK,0.86,manual_recheck_2026-05-13
ENT_48510E2FE34E,Enterprise,SUB_004,SubTrack,FOCUSES_ON_SUB_TRACK,0.92,mainline_merge_from_expansion_2026-05-13
ENT_85CEF884C821,Enterprise,SUB_004,SubTrack,FOCUSES_ON_SUB_TRACK,0.88,mainline_merge_from_expansion_2026-05-13
