start_id,start_label,end_id,end_label,relation_type,confidence,source
CAP_42EFAAE43C01,Capability,KCAP_LA_001,KeyCapability,MAPPED_TO,0.93,legacy_to_unified_v2
CAP_6D7813CF73A8,Capability,KCAP_LA_002,KeyCapability,MAPPED_TO,0.72,legacy_to_unified_v2
CAP_0C87AB04E79B,Capability,KCAP_MV_001,KeyCapability,MAPPED_TO,0.86,legacy_to_unified_v2
CAP_59713B98F245,Capability,KCAP_MV_002,KeyCapability,MAPPED_TO,0.82,legacy_to_unified_v2
CAP_8B4BE451B994,Capability,KCAP_MV_002,KeyCapability,MAPPED_TO,0.80,legacy_to_unified_v2
CAP_799D3B66E7B1,Capability,KCAP_MV_001,KeyCapability,MAPPED_TO,0.88,legacy_to_unified_v2
CAP_6D1F01947C46,Capability,KCAP_MV_001,KeyCapability,MAPPED_TO,0.79,legacy_to_unified_v2
CAP_3B9CB9716396,Capability,KCAP_MV_001,KeyCapability,MAPPED_TO,0.76,legacy_to_unified_v2
CAP_8B9A8F9F1CC3,Capability,KCAP_MV_001,KeyCapability,MAPPED_TO,0.76,legacy_to_unified_v2
CAP_5572D2D87618,Capability,KCAP_MV_001,KeyCapability,MAPPED_TO,0.74,legacy_to_unified_v2
CAP_6620660BDA31,Capability,KCAP_OC_001,KeyCapability,MAPPED_TO,0.60,legacy_to_unified_v2
CAP_80001ABB49CF,Capability,KCAP_MV_001,KeyCapability,MAPPED_TO,0.88,legacy_to_unified_v2
CAP_69F6886D8BB6,Capability,KCAP_MV_002,KeyCapability,MAPPED_TO,0.95,legacy_to_unified_v2
CAP_0F3B55159090,Capability,KCAP_MV_002,KeyCapability,MAPPED_TO,0.88,legacy_to_unified_v2
CAP_D8E5AC640CB0,Capability,KCAP_MV_001,KeyCapability,MAPPED_TO,0.81,legacy_to_unified_v2
CAP_EF3E49F92822,Capability,KCAP_OC_004,KeyCapability,MAPPED_TO,0.95,legacy_to_unified_v2
CAP_7810A3F4D87C,Capability,KCAP_OC_003,KeyCapability,MAPPED_TO,0.91,legacy_to_unified_v2
CAP_B8A08F359365,Capability,KCAP_OC_003,KeyCapability,MAPPED_TO,0.90,legacy_to_unified_v2
