start_id,start_label,end_id,end_label,relation_type,confidence,source
ASCN_MV_001,ApplicationScenario,STG_MV_008,ChainStage,DRIVES_STAGE,0.95,unified_structure_v2
ASCN_MV_001,ApplicationScenario,STG_MV_009,ChainStage,DRIVES_STAGE,0.90,unified_structure_v2
ASCN_MV_002,ApplicationScenario,STG_MV_008,ChainStage,DRIVES_STAGE,0.95,unified_structure_v2
ASCN_MV_002,ApplicationScenario,STG_MV_009,ChainStage,DRIVES_STAGE,0.90,unified_structure_v2
ASCN_MV_003,ApplicationScenario,STG_MV_008,ChainStage,DRIVES_STAGE,0.95,unified_structure_v2
ASCN_MV_003,ApplicationScenario,STG_MV_009,ChainStage,DRIVES_STAGE,0.90,unified_structure_v2
ASCN_MV_004,ApplicationScenario,STG_MV_008,ChainStage,DRIVES_STAGE,0.90,unified_structure_v2
ASCN_MV_004,ApplicationScenario,STG_MV_009,ChainStage,DRIVES_STAGE,0.90,unified_structure_v2
ASCN_MV_005,ApplicationScenario,STG_MV_008,ChainStage,DRIVES_STAGE,0.90,unified_structure_v2
ASCN_MV_005,ApplicationScenario,STG_MV_009,ChainStage,DRIVES_STAGE,0.90,unified_structure_v2
ASCN_MV_006,ApplicationScenario,STG_MV_007,ChainStage,DRIVES_STAGE,0.85,unified_structure_v2
ASCN_MV_006,ApplicationScenario,STG_MV_009,ChainStage,DRIVES_STAGE,0.85,unified_structure_v2
ASCN_OC_001,ApplicationScenario,STG_OC_009,ChainStage,DRIVES_STAGE,0.95,unified_structure_v2
ASCN_OC_001,ApplicationScenario,STG_OC_010,ChainStage,DRIVES_STAGE,0.95,unified_structure_v2
ASCN_OC_002,ApplicationScenario,STG_OC_009,ChainStage,DRIVES_STAGE,0.95,unified_structure_v2
ASCN_OC_002,ApplicationScenario,STG_OC_010,ChainStage,DRIVES_STAGE,0.95,unified_structure_v2
ASCN_OC_003,ApplicationScenario,STG_OC_009,ChainStage,DRIVES_STAGE,0.90,unified_structure_v2
ASCN_OC_003,ApplicationScenario,STG_OC_010,ChainStage,DRIVES_STAGE,0.90,unified_structure_v2
ASCN_OC_004,ApplicationScenario,STG_OC_009,ChainStage,DRIVES_STAGE,0.85,unified_structure_v2
ASCN_OC_004,ApplicationScenario,STG_OC_010,ChainStage,DRIVES_STAGE,0.85,unified_structure_v2
ASCN_LA_001,ApplicationScenario,STG_LA_006,ChainStage,DRIVES_STAGE,0.90,unified_structure_v2
ASCN_LA_001,ApplicationScenario,STG_LA_009,ChainStage,DRIVES_STAGE,0.85,unified_structure_v2
ASCN_LA_002,ApplicationScenario,STG_LA_007,ChainStage,DRIVES_STAGE,0.90,unified_structure_v2
ASCN_LA_002,ApplicationScenario,STG_LA_009,ChainStage,DRIVES_STAGE,0.90,unified_structure_v2
ASCN_LA_003,ApplicationScenario,STG_LA_008,ChainStage,DRIVES_STAGE,0.90,unified_structure_v2
ASCN_LA_003,ApplicationScenario,STG_LA_009,ChainStage,DRIVES_STAGE,0.90,unified_structure_v2
ASCN_LA_004,ApplicationScenario,STG_LA_007,ChainStage,DRIVES_STAGE,0.90,unified_structure_v2
ASCN_LA_004,ApplicationScenario,STG_LA_009,ChainStage,DRIVES_STAGE,0.90,unified_structure_v2
ASCN_LA_005,ApplicationScenario,STG_LA_007,ChainStage,DRIVES_STAGE,0.90,unified_structure_v2
ASCN_LA_005,ApplicationScenario,STG_LA_009,ChainStage,DRIVES_STAGE,0.85,unified_structure_v2
ASCN_LA_006,ApplicationScenario,STG_LA_007,ChainStage,DRIVES_STAGE,0.85,unified_structure_v2
ASCN_LA_006,ApplicationScenario,STG_LA_009,ChainStage,DRIVES_STAGE,0.85,unified_structure_v2
ASCN_DISP_001,ApplicationScenario,STG_004_006,ChainStage,DRIVES_STAGE,0.95,unified_structure_v2
ASCN_DISP_001,ApplicationScenario,STG_004_007,ChainStage,DRIVES_STAGE,0.95,unified_structure_v2
ASCN_DISP_002,ApplicationScenario,STG_004_006,ChainStage,DRIVES_STAGE,0.90,unified_structure_v2
ASCN_DISP_002,ApplicationScenario,STG_004_007,ChainStage,DRIVES_STAGE,0.90,unified_structure_v2
ASCN_DISP_003,ApplicationScenario,STG_004_006,ChainStage,DRIVES_STAGE,0.85,unified_structure_v2
ASCN_DISP_003,ApplicationScenario,STG_004_007,ChainStage,DRIVES_STAGE,0.85,unified_structure_v2
ASCN_COMP_001,ApplicationScenario,STG_005_005,ChainStage,DRIVES_STAGE,0.95,unified_structure_v2
ASCN_COMP_001,ApplicationScenario,STG_005_006,ChainStage,DRIVES_STAGE,0.95,unified_structure_v2
ASCN_COMP_002,ApplicationScenario,STG_005_005,ChainStage,DRIVES_STAGE,0.85,unified_structure_v2
ASCN_COMP_002,ApplicationScenario,STG_005_006,ChainStage,DRIVES_STAGE,0.85,unified_structure_v2
ASCN_FUS_001,ApplicationScenario,STG_006_003,ChainStage,DRIVES_STAGE,0.90,unified_structure_v2
ASCN_FUS_001,ApplicationScenario,STG_006_004,ChainStage,DRIVES_STAGE,0.90,unified_structure_v2
ASCN_FUS_002,ApplicationScenario,STG_006_004,ChainStage,DRIVES_STAGE,0.85,unified_structure_v2
