start_id,end_id,confidence,source
STG_004_001,STG_004_002,1.0,expansion_patch_2026-05-12
STG_004_002,STG_004_003,1.0,expansion_patch_2026-05-12
STG_004_003,STG_004_004,1.0,expansion_patch_2026-05-12
STG_004_004,STG_004_005,1.0,expansion_patch_2026-05-12
STG_004_005,STG_004_006,1.0,expansion_patch_2026-05-12
STG_004_006,STG_004_007,1.0,expansion_patch_2026-05-12
STG_004_007,STG_004_008,1.0,expansion_patch_2026-05-12
STG_004_008,STG_004_009,1.0,expansion_patch_2026-05-12
STG_004_009,STG_004_010,1.0,expansion_patch_2026-05-12
STG_005_001,STG_005_002,1.0,expansion_patch_2026-05-12
STG_005_002,STG_005_003,1.0,expansion_patch_2026-05-12
STG_005_003,STG_005_004,1.0,expansion_patch_2026-05-12
STG_005_004,STG_005_005,1.0,expansion_patch_2026-05-12
STG_005_005,STG_005_006,1.0,expansion_patch_2026-05-12
STG_005_006,STG_005_007,1.0,expansion_patch_2026-05-12
STG_005_007,STG_005_008,1.0,expansion_patch_2026-05-12
STG_006_001,STG_006_002,1.0,expansion_patch_2026-05-12
STG_006_002,STG_006_003,1.0,expansion_patch_2026-05-12
STG_006_003,STG_006_004,1.0,expansion_patch_2026-05-12
STG_006_004,STG_006_005,1.0,expansion_patch_2026-05-12
STG_006_005,STG_006_006,1.0,expansion_patch_2026-05-12
