id:ID,label,name,source_file,row_no,core_technology,technology_maturity,possible_scenarios,business_model,delivery_capability,certification_ip,founder_team_and_gap,recent_revenue_profit,competition_and_diff,match_level,:LABEL
ENT_D7C120A97FCC,Enterprise,西安中科光凝科技有限公司（人工核对）,企业信息暂存.xlsx,2,超快激光精密焊接技术（异质材料焊接、特种材料超精密3D成形,技术成果属于国际领先水平，技术成熟度达到产业化水平,自主导航器件（陀螺仪）、微流控芯片、UV-LED封装、TGV封装、精密传感器领域,,已经具备一定的激光精密焊接装备设计和制造能力,授权国家发明专利13项（第1发明人）,核心团队来自中科院西安光机所，汇集了激光工艺研发、设备设计、设备制造、市场推广、企业管理等各方面具有丰富经验的团队成员。项目负责人贺斌为西安交通大学工学博士，中科院西安光学精密机械研究所副研究员，德国弗朗霍夫激光技术研究所访问学者。穆晔为法定代表人，北大法学本科、经济学辅修，有法律和创业经验。短板信息暂无。,,,未匹配,Enterprise
ENT_FE60ED7D4BC1,Enterprise,上海拜安传感技术有限公司,企业信息暂存.xlsx,3,MEMS光学传感核心技术（光谱干涉仪MEMS芯片化制造，异质巨集成体硅工艺）,已商业化运营，产品已在风电、轨交等领域批量应用，并进入航空、核电领域进行进口替代。拥有市面最成熟的轨交弓网压力监测解决方案，已认定进入中国标准地铁列车的推荐配置文件。,智慧城市、船舶、智能电网、更广泛的工业设备监测和故障诊断领域。,1. 风电技改市场：以招标方式向业主方交付整套解决方案（硬件+软件），后续运维收取软件授权license费用。2. 风电增量市场：通过写入整机厂商标书，提供标准化传感器。3. 轨交等领域：提供解决方案及产品。,风电领域交付周期约2个月。轨交领域已在50+条地铁线路批量应用。,国家级高新技术企业、国家级专精特新“小巨人”企业、上海市专精特新企业；AS9100D（航空航天）认证、鉴衡风电场部件认证证书、CCS船级社认证证书；国家2022年度“中国机械工业技术发明三等奖”；中国商飞战略合作商、中核集团合格供应商。,核心团队：董事长钟少龙（中科院上海微系统所高级工程师，华为前产品开发经验，光纤传感领域专家）；风电专家俞红鹰（上海交大，主导设计国内第一代风力发电机）；AI专家韦俊（上海交大和加州大学硕士，前SKF首席资深数据科学家）。短板：暂无明确信息。,暂无具体数据。2024年轨交领域预计收入数千万元。,暂无直接竞对信息。根据资料，公司在风电和轨交领域填补了工业监测空白，实现了国产超越；在轨交弓网压力监测方面拥有最成熟的解决方案；在航空、核电领域进行高精度传感器的进口替代。,精确匹配,Enterprise
ENT_0EEE5F4580B9,Enterprise,西湖智能视觉科技（杭州）有限公司,企业信息暂存.xlsx,4,单曝光压缩成像技术（AI+计算成像，光学编码+AI算法，压缩采集重建）,原理样机转化与产品开发阶段。公司着力于将实验室原理样机转化为商业产品，实现集成化和芯片化并最终将其大规模量产。已完成天使轮融资，资金用于持续提升核心技术。,基于其单曝光高光谱、高速视频及3D检测能力，可能应用于更广泛的工业质检、环境监测、农业检测、安防监控、医疗影像等领域。,产品销售（成像系统解决方案）、技术授权（可能性）。作为技术驱动型公司，可能通过销售集成了其核心技术的智能相机或成像系统为主要商业模式。,公司处于产品开发与商业化初期，致力于将原理样机产品化、芯片化并量产。具体交付周期和规模暂无公开信息。,高新技术企业（网络信息提及）。核心团队拥有20多项国际专利。具体资质证书名称及编号暂无公开信息。,创始团队：1. 袁鑫博士：公司执行董事，西湖大学工学院副教授，特聘研究员，2022年浙江省杰青，20多项国际专利发明者，曾任美国贝尔实验室视频分析与编码首席研究员。2. 陈明亮博士：公司创始人兼CEO，中国科学院上海光学精密机械研究所副研究员，全面负责公司日常运营及产品开发，分管产品系统设计、光学、机械结构及可靠性研发。短板：公司成立于2022年，相对年轻，产品处于商业化早期，市场验证和规模化销售能力有待证明；作为初创公司，在供应链管理、大规模生产、市场渠道建设方面可能存在经验短板。,暂无公开信息。公司成立于2022年3月，尚处于早期研发和产品化阶段。,竞对：例如提供高光谱成像、工业检测相机等解决方案的公司。技术差异：与传统光谱成像依赖逐点或逐线扫描导致效率低、动态场景适应性差不同，西湖智能视觉采用单曝光压缩成像技术，以面扫的方式，效率更高，擅长高速、大视场、复杂环境适应场景。,精确匹配,Enterprise
ENT_89E59878D011,Enterprise,无锡安科迪智能技术有限公司,企业信息暂存.xlsx,5,阵列式多尺度超高清计算相机技术（仿生复眼架构）；空间数据采集；空间大脑计算平台,成熟。产品已量产并广泛应用于多个国家级重大项目和行业场景，成为公安部警用装备指定产品和国家重点国防项目建设列装产品。,工业级超高清多目VR相机、消费级全域视频智能空间感知、更广泛的智慧城市物联网节点、大型活动现场的沉浸式观赛/观演系统。,硬件（阵列摄像机）销售与软硬件一体化解决方案提供商。,具备产品研发、生产及项目交付能力，已成功交付并应用于多个国家级及行业级重大项目。,高新技术企业；公安部警用装备指定产品；国家重点国防项目建设列装产品。拥有美国杜克大学相关专利引进及自主研发技术。,创始人兼董事长为王惠东。公司早期引进美国杜克大学专利，是全球阵列计算成像技术和空间数字化智能感知应用的开拓者。短板：网络信息未提及具体技术或市场短板。,,竞对：传统高清监控摄像机厂商（如海康威视、大华股份等）及新兴计算成像公司。技术差异：采用独特的“仿生复眼”阵列式成像技术，通过一个主镜头+N个微型镜头阵列结合后端强大算法，实现单台设备覆盖超大范围并保持极高分辨率（如一台Mantis等于70台1080p摄像机），在特定纵深矩形区域内实现远距离高精度识别，技术路径与传统单镜头摄像机或普通全景相机有本质不同。,精确匹配,Enterprise
ENT_2E925683CAA7,Enterprise,中智科仪（北京）科技有限公司,企业信息暂存.xlsx,6,时间门控成像；单光子探测；皮秒级时间分辨；激光穿透成像,已形成具体产品（如IsCMOS相机、2DSPC相机、穿透成像仪），并应用于科研及行业领域，技术处于产业化应用阶段。,军事侦察、环境监测、医疗影像、自动驾驶感知增强、高端制造无损检测等需要超快时间分辨、弱光或穿透散射介质成像的领域。,研发、生产和销售高端光电探测设备及解决方案，面向科研机构与工业客户。,暂无（信息不足，未明确提及生产规模、交付周期等具体信息）。,暂无（信息不足，未明确提及具体资质或认证，但作为科技型企业应拥有相关技术专利）。,创始团队信息未在提供资料中明确。短板可能包括：作为2016年成立的初创公司，市场知名度和客户积累可能相对有限；高端科研仪器市场面临国际巨头竞争；技术研发投入大，对持续融资能力要求高。,暂无（信息不足，未披露具体财务数据）。,竞对包括国际领先的光电探测设备厂商（如滨松、Princeton Instruments等）。技术差异：中智科仪专注于时间门控成像及单光子探测这一细分领域，强调皮秒级时间分辨、单光子灵敏度及激光穿透成像能力，旨在实现国产高端科研仪器的突破。,精确匹配,Enterprise
ENT_203143C4EA39,Enterprise,徐州光引科技发展有限公司,企业信息暂存.xlsx,7,片上光电集成芯片技术（片上计量级光谱仪、光谱分析探测芯片、通信光交换芯片，硬件芯片化设计）,,消费市场、医疗诊断、食品检测,,,,核心技术团队来自英国剑桥大学，自2015年至今在硅基光电子集成工艺及器件领域产出了多项自主创新成果，覆盖硅光光交换、光开关、光谱仪、光计算等多种器件。,,,精确匹配,Enterprise
ENT_35DA8ECCF3D5,Enterprise,中科海锐（厦门）科技研究院有限公司,企业信息暂存.xlsx,8,空心玻璃微球软化学法制备技术,技术攻关、成果转化阶段,技术攻关、成果转化、企业孵化、人才培养、科技服务,集技术攻关、成果转化、企业孵化、人才培养、科技服务于一体的新型研发机构,,,创始团队：中国科学院理化技术研究所微珠技术团队。短板：暂无,,,精确匹配,Enterprise
ENT_BF4D182DF9F3,Enterprise,西安聚安光科物联网科技有限公司,企业信息暂存.xlsx,9,硅基压力传感器技术、金属电容真空计及变送器技术、陶瓷电容压力传感器技术、应变计压力传感器技术、温度及流量传感器技术；具备从芯片设计、制作、封装到传感器装调、测试的全流程能力，依托6英寸高水平MEMS流片线实现芯片自主可控,掌握核心光电芯片设计和工艺技术+先进的光电传感技术+先进的算法+物联网系统技术，拥有近30项自主知识产权，部分产品已实现落地应用（如电力、储能、生命体征监测），芯片产品（垂直腔可调谐范围6nm，微腔激光器可调谐范围30-40nm）满足系统需求,智慧城市数字化升级（管道泄漏、大型建筑物、发电厂等）、智慧公园、智慧交通、智慧场馆、智慧山体、智慧消防、智慧管廊、国网储能电池极早期监测、低碳融合发展研究院氢能监测、南网和国网局部放电监测、床垫民用产业化、军民融合入侵监测,以产品销售和技术大规模落地为导向，通过项目、产品和设备销售实现盈利；近期目标克服项目依赖，实现产品大规模铺开，通过售前解决方案定制和售后运维等服务盈利；未来目标建立基于大数据的极早期预警管理云平台，参与制定行业标准,拥有自主研发的芯片、传感器、解调仪等产品系列，具备光电监测系统构建能力（软件、硬件、嵌入式工程师团队），产品已在多个行业场景中交付应用（如电力、储能、安防、健康监测）,拥有近30项自主知识产权（专利30多项），遍及芯片、传感技术、算法、材料、应用场景等；核心团队拥有论文130多篇；企业顾问为国家863专家、中国光学学会常务理事等,核心创始团队来自新加坡国立大学、中国科学院大学；执行总裁兼CTO董波为新加坡国立大学博士、博士生导师、中科院百人计划技术英才、陕西省千人计划；团队包括物联网大数据专家顾问（吴博士）、软件工程师、财务总监、硬件工程师（徐博士）、嵌入式工程师、销售总监等；短板：未明确提及,,竞对：美国Finisar（可调谐激光芯片单片价格300美金以上）；国内暂无竞品。技术差异：公司基于自研激光芯片+先进光电传感技术+先进算法，实现低成本（相比进口）和极早期预警能力，在光电监测系统领域国内尚无竞争对手；传统技术对比：传统火灾/电池监测不能极早期预警，传统光纤围栏误报率高（>5%），传统电类生命体征传感器监测精度低,模糊匹配,Enterprise
ENT_0B6BB348F95A,Enterprise,南京锂泰新能源科技有限公司,企业信息暂存.xlsx,10,纳米阻燃薄膜成膜降温技术；金属螯合剂捕捉技术；自由基终止剂分散技术；储压式/非储压式灭火装置,已完成核心技术研发，产品已推出（储压/非储压灭火装置、火灾防控系统），并于2025年7月获得千万元天使轮融资用于产业化推进，技术处于产业化初期阶段。,大型电动交通工具（如电动巴士、电动船舶）的电池舱消防；便携式电子设备（如充电宝、无人机电池）的安全防护；电池生产、测试、回收过程中的安全防控。,产品销售（灭火装置、防控系统）及技术解决方案提供。,暂无（根据公开信息，未披露具体产能、交付周期或项目案例）。,暂无（根据公开信息，未披露具体认证、资质或专利信息）。公司承担了多项国家级、省部级科研项目。,核心成员均来自华中科技大学储能与动力电池实验室（由首席科学家黄云辉教授于2008年创建），拥有扎实的电化学知识储备和突出的项目研发能力。短板：公司成立于2022年12月，相对年轻，市场验证、规模化生产和商业落地经验可能不足；公开信息中未提及成熟的供应链或明确的标杆客户。,暂无（公司成立于2022年12月，未披露财务数据）。,暂无（根据公开信息，未提及具体竞争对手。其技术差异点在于专注于电池火灾的化学抑制机理，如纳米阻燃薄膜、金属螯合剂、自由基终止剂等，并结合了智慧消防集成系统）。,精确匹配,Enterprise
ENT_F6DEF23B558E,Enterprise,北京中科科氏帛生物科技有限公司,企业信息暂存.xlsx,11,大丽轮枝菌等植物生防菌技术、基因编辑育种、分子标记辅助选择,,农业生物技术、作物改良、植物保护,技术研发与产品生产、项目合作开发,,,由植物生命科学领域知名专家发起成立，首席执行官为高峰。具体团队成员及短板暂无。,,,精确匹配,Enterprise
