start_id,start_label,end_id,end_label,relation_type,confidence,source
STG_SPACE_001,ChainStage,KCAP_SPACE_001,KeyCapability,REQUIRES_CAPABILITY,0.95,candidate_space_v1
STG_SPACE_001,ChainStage,KCAP_SPACE_002,KeyCapability,REQUIRES_CAPABILITY,0.92,candidate_space_v1
STG_SPACE_002,ChainStage,KCAP_SPACE_001,KeyCapability,REQUIRES_CAPABILITY,0.88,candidate_space_v1
STG_SPACE_002,ChainStage,KCAP_SPACE_003,KeyCapability,REQUIRES_CAPABILITY,0.95,candidate_space_v1
STG_SPACE_003,ChainStage,KCAP_SPACE_002,KeyCapability,REQUIRES_CAPABILITY,0.90,candidate_space_v1
STG_SPACE_003,ChainStage,KCAP_SPACE_003,KeyCapability,REQUIRES_CAPABILITY,0.82,candidate_space_v1
STG_SPACE_004,ChainStage,KCAP_SPACE_004,KeyCapability,REQUIRES_CAPABILITY,0.96,candidate_space_v1
STG_SPACE_005,ChainStage,KCAP_SPACE_005,KeyCapability,REQUIRES_CAPABILITY,0.96,candidate_space_v1
STG_SPACE_006,ChainStage,KCAP_SPACE_006,KeyCapability,REQUIRES_CAPABILITY,0.97,candidate_space_v1
STG_SPACE_007,ChainStage,KCAP_SPACE_007,KeyCapability,REQUIRES_CAPABILITY,0.92,candidate_space_v1
STG_SPACE_008,ChainStage,KCAP_SPACE_007,KeyCapability,REQUIRES_CAPABILITY,0.90,candidate_space_v1
STG_SPACE_009,ChainStage,KCAP_SPACE_008,KeyCapability,REQUIRES_CAPABILITY,0.92,candidate_space_v1
STG_SPACE_010,ChainStage,KCAP_SPACE_008,KeyCapability,REQUIRES_CAPABILITY,0.96,candidate_space_v1
