industry_id,industry_name,sub_track_id,sub_track_name,stage_id,stage_name,stage_level,upstream_stage_id,downstream_stage_id,tech_id,tech_name,capability_id,capability_name,scenario_id,scenario_name,representative_enterprise_name,notes
IND_001,光电子,SUB_001,光学检测/机器视觉,STG_001,光学元件与成像器件,上游,,STG_002,TEC_001,光学成像,CAP_001,光学系统设计能力,SCN_001,消费电子检测,,上游基础器件与成像链路
IND_001,光电子,SUB_001,光学检测/机器视觉,STG_002,图像采集模组,上游,STG_001,STG_003,TEC_002,图像采集,CAP_002,高速采集与同步能力,SCN_002,半导体检测,,连接上游器件与中游算法平台
IND_001,光电子,SUB_001,光学检测/机器视觉,STG_003,视觉算法平台,中游,STG_002,STG_004,TEC_003,图像处理算法,CAP_003,缺陷检测算法能力,SCN_003,面板检测,,核心软件与算法能力层
IND_001,光电子,SUB_001,光学检测/机器视觉,STG_004,检测设备与系统集成,中游,STG_003,STG_005,TEC_004,系统集成, CAP_004,整机集成与交付能力,SCN_004,锂电检测,,面向行业交付的设备系统层
IND_001,光电子,SUB_001,光学检测/机器视觉,STG_005,行业应用落地,下游,STG_004,,TEC_005,工艺检测应用,CAP_005,行业方案落地能力,SCN_005,汽车制造检测,,下游应用场景落地
IND_001,光电子,SUB_002,光通信/光模块,STG_101,核心芯片与光器件,上游,,STG_102,TEC_101,光电转换,CAP_101,核心器件开发能力,SCN_101,数据中心互联,,上游核心器件层
IND_001,光电子,SUB_002,光通信/光模块,STG_102,高速模块设计,中游,STG_101,STG_103,TEC_102,高速调制,CAP_102,高速模块设计能力,SCN_102,AI算力互联,,光模块设计层
IND_001,光电子,SUB_002,光通信/光模块,STG_103,封装测试,中游,STG_102,STG_104,TEC_103,封装测试,CAP_103,高速封装测试能力,SCN_103,5G承载网络,,制造与测试关键环节
IND_001,光电子,SUB_002,光通信/光模块,STG_104,系统部署与网络应用,下游,STG_103,,TEC_104,高速互连,CAP_104,网络部署适配能力,SCN_104,电信网络,,下游网络侧应用
IND_001,光电子,SUB_003,激光加工/光学装备,STG_201,激光器与核心光学器件,上游,,STG_202,TEC_201,激光器控制,CAP_201,核心光源开发能力,SCN_201,金属加工,,上游核心器件层
IND_001,光电子,SUB_003,激光加工/光学装备,STG_202,控制系统与振镜平台,中游,STG_201,STG_203,TEC_202,振镜控制,CAP_202,精密控制能力,SCN_202,消费电子制造,,装备控制层
IND_001,光电子,SUB_003,激光加工/光学装备,STG_203,激光加工设备,中游,STG_202,STG_204,TEC_203,精密加工工艺,CAP_203,设备集成能力,SCN_203,锂电制造,,整机设备层
IND_001,光电子,SUB_003,激光加工/光学装备,STG_204,行业工艺应用,下游,STG_203,,TEC_204,自动化加工应用,CAP_204,工艺落地能力,SCN_204,光伏制造,,面向行业的应用交付层
