scenario_id,sub_track_id,sub_track_name,scenario_name,description
ASCN_MV_001,SUB_001,光学检测/机器视觉,消费电子检测,消费电子制造相关检测场景
ASCN_MV_002,SUB_001,光学检测/机器视觉,半导体检测,半导体与封装相关检测场景
ASCN_MV_003,SUB_001,光学检测/机器视觉,面板检测,显示面板与外观检测场景
ASCN_MV_004,SUB_001,光学检测/机器视觉,汽车制造检测,汽车与零部件制造相关检测场景
ASCN_MV_005,SUB_001,光学检测/机器视觉,锂电/光伏检测,新能源制造检测场景
ASCN_MV_006,SUB_001,光学检测/机器视觉,医药/食品/物流视觉应用,医药食品物流等视觉应用场景
ASCN_OC_001,SUB_002,光通信/光模块,数据中心互联,数据中心网络与服务器互联场景
ASCN_OC_002,SUB_002,光通信/光模块,AI集群互联,AI算力集群高速互联场景
ASCN_OC_003,SUB_002,光通信/光模块,电信承载网,运营商骨干/城域/承载网络场景
ASCN_OC_004,SUB_002,光通信/光模块,接入与园区网络,园区/企业/接入侧光通信场景
ASCN_LA_001,SUB_003,激光加工/光学装备,金属加工,通用金属加工场景
ASCN_LA_002,SUB_003,激光加工/光学装备,消费电子制造,消费电子精密加工场景
ASCN_LA_003,SUB_003,激光加工/光学装备,汽车与零部件制造,汽车与零部件加工场景
ASCN_LA_004,SUB_003,激光加工/光学装备,锂电/光伏/新能源制造,新能源制造加工场景
ASCN_LA_005,SUB_003,激光加工/光学装备,半导体与精密制造,半导体和高精密加工场景
ASCN_LA_006,SUB_003,激光加工/光学装备,医疗器械与其他高端制造,医疗器械及高端制造场景
ASCN_DISP_001,SUB_004,光显示,AR/VR微显示,AR/VR和可穿戴微显示场景
ASCN_DISP_002,SUB_004,光显示,车载与座舱显示,车载抬显与高端座舱显示场景
ASCN_DISP_003,SUB_004,光显示,专业与大屏显示,大屏、指挥调度与专业显示场景
ASCN_COMP_001,SUB_005,光计算,AI集群与数据中心,AI训练推理集群与数据中心场景
ASCN_COMP_002,SUB_005,光计算,科学计算与专用算力,科研计算和专用算力场景
ASCN_FUS_001,SUB_006,光融合（量子光学新原理）,科研平台与高端仪器,科研平台、高端仪器装备场景
ASCN_FUS_002,SUB_006,光融合（量子光学新原理）,特种感知与前沿应用,特种感知与前沿产业验证场景
