"公司名称","核心技术","产品","客户","供应商","技术成熟度","产品应用行业","应用场景","可能应用场景","商务模式","交付能力","认证/资质/知识产权","创始团队与短板","当前最需要的资源类型","近三年营收及利润","竞对及技术差异","匹配程度"
"西安中科光凝科技有限公司（人工核对）","超快激光精密焊接技术（异质材料焊接、特种材料超精密3D成形","精密传感器制造、半导体封装、生物芯片加工领域激光设备","中国电子科技集团第38研究所、中国航空工业集团西安飞行自动控制研究所、浙江大学杭州国际科创中心、中科院物理研究院绵阳某院","激光器/光学元件供应商","技术成果属于国际领先水平，技术成熟度达到产业化水平","航空航天、生物医疗、半导体、精密电子","玻璃、蓝宝石、石英等透明材料间以及上述透明材料和金、铜、不锈钢、高温合金之间的直接焊接","自主导航器件（陀螺仪）、微流控芯片、UV-LED封装、TGV封装、精密传感器领域","　","已经具备一定的激光精密焊接装备设计和制造能力","授权国家发明专利13项（第1发明人）","核心团队来自中科院西安光机所，汇集了激光工艺研发、设备设计、设备制造、市场推广、企业管理等各方面具有丰富经验的团队成员。项目负责人贺斌为西安交通大学工学博士，中科院西安光学精密机械研究所副研究员，德国弗朗霍夫激光技术研究所访问学者。穆晔为法定代表人，北大法学本科、经济学辅修，有法律和创业经验。短板信息暂无。","　","　","　","未匹配"
"上海拜安传感技术有限公司","MEMS光学传感核心技术（光谱干涉仪MEMS芯片化制造，异质巨集成体硅工艺）","MEMS光学传感器（压力/应变/位移/温度/声音）；全光谱光纤传感分析仪；传感分析软件平台","华能西安热工研究院、中国商飞（战略合作）、中核集团、中国中车、中国石油、国家电网、中航工业、中船重工、清华大学、上海交通大学、同济大学、拜耳、霍尼韦尔","核心传感元件供应商","已商业化运营，产品已在风电、轨交等领域批量应用，并进入航空、核电领域进行进口替代。拥有市面最成熟的轨交弓网压力监测解决方案，已认定进入中国标准地铁列车的推荐配置文件。","风电、轨道交通、航空航天、核电、船舶、智慧城市、智能电网、工业测温。","1. 风电：存量风机技改（提供传感器、解调仪硬件和软件算法的整套解决方案）及新增风机前装。2. 轨道交通：地铁线路弓网压力监测。3. 航空航天、核电：高精度传感器进口替代。","智慧城市、船舶、智能电网、更广泛的工业设备监测和故障诊断领域。","1. 风电技改市场：以招标方式向业主方交付整套解决方案（硬件+软件），后续运维收取软件授权license费用。2. 风电增量市场：通过写入整机厂商标书，提供标准化传感器。3. 轨交等领域：提供解决方案及产品。","风电领域交付周期约2个月。轨交领域已在50+条地铁线路批量应用。","国家级高新技术企业、国家级专精特新“小巨人”企业、上海市专精特新企业；AS9100D（航空航天）认证、鉴衡风电场部件认证证书、CCS船级社认证证书；国家2022年度“中国机械工业技术发明三等奖”；中国商飞战略合作商、中核集团合格供应商。","核心团队：董事长钟少龙（中科院上海微系统所高级工程师，华为前产品开发经验，光纤传感领域专家）；风电专家俞红鹰（上海交大，主导设计国内第一代风力发电机）；AI专家韦俊（上海交大和加州大学硕士，前SKF首席资深数据科学家）。短板：暂无明确信息。","暂无明确信息。","暂无具体数据。2024年轨交领域预计收入数千万元。","暂无直接竞对信息。根据资料，公司在风电和轨交领域填补了工业监测空白，实现了国产超越；在轨交弓网压力监测方面拥有最成熟的解决方案；在航空、核电领域进行高精度传感器的进口替代。","精确匹配"
"西湖智能视觉科技（杭州）有限公司","单曝光压缩成像技术（AI+计算成像，光学编码+AI算法，压缩采集重建）","单曝光高速视频；单曝光高光谱成像；单曝光3D检测","中国林业科学研究院亚热带林业研究所（已中标189万元科研设备）、西湖大学（成果转化合作）","摄像头/光学元件供应商","原理样机转化与产品开发阶段。公司着力于将实验室原理样机转化为商业产品，实现集成化和芯片化并最终将其大规模量产。已完成天使轮融资，资金用于持续提升核心技术。","生物医疗、工业检测、光谱检测。","1. 沥青路面老化程度、病害类型识别；2. 桥梁梁体、桥面、桥墩等所有暴露表面进行大规模、无接触的扫描，识别混凝土表面露筋病害；3. 原料检测（如高粱样品）；4. 水域监测（如河道水域巡检，总氮和总磷检测）；5. 深基坑施工现场渗水预警。","基于其单曝光高光谱、高速视频及3D检测能力，可能应用于更广泛的工业质检、环境监测、农业检测、安防监控、医疗影像等领域。","产品销售（成像系统解决方案）、技术授权（可能性）。作为技术驱动型公司，可能通过销售集成了其核心技术的智能相机或成像系统为主要商业模式。","公司处于产品开发与商业化初期，致力于将原理样机产品化、芯片化并量产。具体交付周期和规模暂无公开信息。","高新技术企业（网络信息提及）。核心团队拥有20多项国际专利。具体资质证书名称及编号暂无公开信息。","创始团队：1. 袁鑫博士：公司执行董事，西湖大学工学院副教授，特聘研究员，2022年浙江省杰青，20多项国际专利发明者，曾任美国贝尔实验室视频分析与编码首席研究员。2. 陈明亮博士：公司创始人兼CEO，中国科学院上海光学精密机械研究所副研究员，全面负责公司日常运营及产品开发，分管产品系统设计、光学、机械结构及可靠性研发。短板：公司成立于2022年，相对年轻，产品处于商业化早期，市场验证和规模化销售能力有待证明；作为初创公司，在供应链管理、大规模生产、市场渠道建设方面可能存在经验短板。","资金（用于持续提升核心技术、加速产品开发）、产业合作伙伴（用于应用场景落地与市场拓展）、供应链与生产资源（用于实现产品芯片化与大规模量产）。","暂无公开信息。公司成立于2022年3月，尚处于早期研发和产品化阶段。","竞对：例如提供高光谱成像、工业检测相机等解决方案的公司。技术差异：与传统光谱成像依赖逐点或逐线扫描导致效率低、动态场景适应性差不同，西湖智能视觉采用单曝光压缩成像技术，以面扫的方式，效率更高，擅长高速、大视场、复杂环境适应场景。","精确匹配"
"无锡安科迪智能技术有限公司","阵列式多尺度超高清计算相机技术（仿生复眼架构）；空间数据采集；空间大脑计算平台","Mantis系列超高分辨率监控相机；Pathfinder系列通道式监控相机","公安部、国家重点国防项目、北京两会、冬奥会、上海建党百年大庆等重大活动安全保障单位；机场、港口、场馆、部队、智慧城市等项目方","工业相机/AI芯片供应商","成熟。产品已量产并广泛应用于多个国家级重大项目和行业场景，成为公安部警用装备指定产品和国家重点国防项目建设列装产品。","安防监控、智慧城市、国防军工、交通管理（高速公路、城市道路）、港口机场、大型场馆、水利枢纽、工业检测等。","广场集散地、港口机场、大型企业等高价值设施区域监控；高速公路、城市重要道路、周界等长距离纵深矩形区域监控；赛事场馆智能个性化视角直播/转播；智慧工地；高点超高清全时空智能感知布控。","工业级超高清多目VR相机、消费级全域视频智能空间感知、更广泛的智慧城市物联网节点、大型活动现场的沉浸式观赛/观演系统。","硬件（阵列摄像机）销售与软硬件一体化解决方案提供商。","具备产品研发、生产及项目交付能力，已成功交付并应用于多个国家级及行业级重大项目。","高新技术企业；公安部警用装备指定产品；国家重点国防项目建设列装产品。拥有美国杜克大学相关专利引进及自主研发技术。","创始人兼董事长为王惠东。公司早期引进美国杜克大学专利，是全球阵列计算成像技术和空间数字化智能感知应用的开拓者。短板：网络信息未提及具体技术或市场短板。","暂无。","暂无。","竞对：传统高清监控摄像机厂商（如海康威视、大华股份等）及新兴计算成像公司。技术差异：采用独特的“仿生复眼”阵列式成像技术，通过一个主镜头+N个微型镜头阵列结合后端强大算法，实现单台设备覆盖超大范围并保持极高分辨率（如一台Mantis等于70台1080p摄像机），在特定纵深矩形区域内实现远距离高精度识别，技术路径与传统单镜头摄像机或普通全景相机有本质不同。","精确匹配"
"中智科仪（北京）科技有限公司","时间门控成像；单光子探测；皮秒级时间分辨；激光穿透成像","逐光IsCMOS像增强相机；逐光2DSPC单光子相机；手持式/固定式穿透成像仪","服务100+高等学府及科研机构（物理科学、能源科学、生命科学、材料科学、量子光学等领域）；国家重大仪器专项支持（6000余万元）","超快激光器、单光子探测器供应商","已形成具体产品（如IsCMOS相机、2DSPC相机、穿透成像仪），并应用于科研及行业领域，技术处于产业化应用阶段。","科研领域（量子计算、可控核聚变、发动机燃烧诊断、光电材料性能分析、等离子体诊断）；行业领域（消防救援、刑侦取证、车载辅助安全驾驶、焊接在线监测、交通监控、地铁障碍物检测、机动车车窗抓拍、透雾成像）。","科研实验中的超快时间探测与极限灵敏度成像；工业在线监测（焊接、发动机诊断）；安防监控（交通、地铁障碍物检测、车窗抓拍）；特殊环境成像（消防救援、刑侦取证、透雾、透雨雪烟等恶劣天气）。","军事侦察、环境监测、医疗影像、自动驾驶感知增强、高端制造无损检测等需要超快时间分辨、弱光或穿透散射介质成像的领域。","研发、生产和销售高端光电探测设备及解决方案，面向科研机构与工业客户。","暂无（信息不足，未明确提及生产规模、交付周期等具体信息）。","暂无（信息不足，未明确提及具体资质或认证，但作为科技型企业应拥有相关技术专利）。","创始团队信息未在提供资料中明确。短板可能包括：作为2016年成立的初创公司，市场知名度和客户积累可能相对有限；高端科研仪器市场面临国际巨头竞争；技术研发投入大，对持续融资能力要求高。","资金（用于产品研发、市场拓展、优化生产流程及科研产品库存备货，根据其A轮融资信息推断）、市场渠道资源、高端研发人才、产业链合作伙伴。","暂无（信息不足，未披露具体财务数据）。","竞对包括国际领先的光电探测设备厂商（如滨松、Princeton Instruments等）。技术差异：中智科仪专注于时间门控成像及单光子探测这一细分领域，强调皮秒级时间分辨、单光子灵敏度及激光穿透成像能力，旨在实现国产高端科研仪器的突破。","精确匹配"
"徐州光引科技发展有限公司","片上光电集成芯片技术（片上计量级光谱仪、光谱分析探测芯片、通信光交换芯片，硬件芯片化设计）","微型光谱分析芯片、可穿戴光谱健康监测设备","小米（智能手表芯片级光谱仪健康监测合作）、酒水生产线质检厂商","光谱仪核心芯片/探测器供应商","　","消费市场、医疗诊断、食品检测","无创健康监测，覆盖短红外波段","消费市场、医疗诊断、食品检测","　","　","　","核心技术团队来自英国剑桥大学，自2015年至今在硅基光电子集成工艺及器件领域产出了多项自主创新成果，覆盖硅光光交换、光开关、光谱仪、光计算等多种器件。","　","　","　","精确匹配"
"中科海锐（厦门）科技研究院有限公司","空心玻璃微球软化学法制备技术","深海浮力材料、深海浮球、低温复合绝热层；空天/海洋/建筑工程新材料","清华大学、西安交通大学、中科院工程热物理研究所、航空发动机研究院、宁德时代、华大基因等60+科研机构","空心玻璃微球原材料供应商","技术攻关、成果转化阶段","化学原料/化学制品、原材料和加工、学术/科研","　","技术攻关、成果转化、企业孵化、人才培养、科技服务","集技术攻关、成果转化、企业孵化、人才培养、科技服务于一体的新型研发机构","　","　","创始团队：中国科学院理化技术研究所微珠技术团队。短板：暂无","　","　","　","精确匹配"
"西安聚安光科物联网科技有限公司","硅基压力传感器技术、金属电容真空计及变送器技术、陶瓷电容压力传感器技术、应变计压力传感器技术、温度及流量传感器技术；具备从芯片设计、制作、封装到传感器装调、测试的全流程能力，依托6英寸高水平MEMS流片线实现芯片自主可控","压力变送器系列（高频响、高精度、高温、小型、微压）、温压一体化变送器、液位变送器、流量计","清华大学、西安交通大学、中科院工程热物理研究所、航空发动机研究院、宁德时代、华大基因等60+科研机构","光纤传感器/光学元件供应商","掌握核心光电芯片设计和工艺技术+先进的光电传感技术+先进的算法+物联网系统技术，拥有近30项自主知识产权，部分产品已实现落地应用（如电力、储能、生命体征监测），芯片产品（垂直腔可调谐范围6nm，微腔激光器可调谐范围30-40nm）满足系统需求","电力行业（发电站、变压器、开关柜）、新能源（储能电池/动力电池/氢燃料电池）、大健康（养老院、民用床垫、宠物）、安防（机场、地铁、基础设施围栏）、智慧城市（管道泄漏、大型建筑物、植物园监测）、军方","①电力光纤局放传感器系统（新加坡变压器、葛洲坝发电站）；②生命体征监测仪（养老院、民用床垫、宠物）；③光纤围栏检测系统（新加坡机场、地铁、马来西亚基础设施）；④分布式光纤温度检测系统（长沙电力/山东电力）；⑤分布式光纤应变监测系统/激光热释粒子探测器（长沙电力/山东电力/基站储能柜）；⑥FBG储能/动力电池监测系统（宁德时代、山东国网综合能源、圣阳储能）；⑦飞秒光栅850度高温监测系统（氢能燃料电池）；⑧FBG一体化光纤温度、湿度和PH值传感监测系统（西安植物园）","智慧城市数字化升级（管道泄漏、大型建筑物、发电厂等）、智慧公园、智慧交通、智慧场馆、智慧山体、智慧消防、智慧管廊、国网储能电池极早期监测、低碳融合发展研究院氢能监测、南网和国网局部放电监测、床垫民用产业化、军民融合入侵监测","以产品销售和技术大规模落地为导向，通过项目、产品和设备销售实现盈利；近期目标克服项目依赖，实现产品大规模铺开，通过售前解决方案定制和售后运维等服务盈利；未来目标建立基于大数据的极早期预警管理云平台，参与制定行业标准","拥有自主研发的芯片、传感器、解调仪等产品系列，具备光电监测系统构建能力（软件、硬件、嵌入式工程师团队），产品已在多个行业场景中交付应用（如电力、储能、安防、健康监测）","拥有近30项自主知识产权（专利30多项），遍及芯片、传感技术、算法、材料、应用场景等；核心团队拥有论文130多篇；企业顾问为国家863专家、中国光学学会常务理事等","核心创始团队来自新加坡国立大学、中国科学院大学；执行总裁兼CTO董波为新加坡国立大学博士、博士生导师、中科院百人计划技术英才、陕西省千人计划；团队包括物联网大数据专家顾问（吴博士）、软件工程师、财务总监、硬件工程师（徐博士）、嵌入式工程师、销售总监等；短板：未明确提及","本轮拟融资人民币2000~4000万元，主要用于团队建设、研发、市场推广、和品牌塑造等","　","竞对：美国Finisar（可调谐激光芯片单片价格300美金以上）；国内暂无竞品。技术差异：公司基于自研激光芯片+先进光电传感技术+先进算法，实现低成本（相比进口）和极早期预警能力，在光电监测系统领域国内尚无竞争对手；传统技术对比：传统火灾/电池监测不能极早期预警，传统光纤围栏误报率高（>5%），传统电类生命体征传感器监测精度低","模糊匹配"
"南京锂泰新能源科技有限公司","纳米阻燃薄膜成膜降温技术；金属螯合剂捕捉技术；自由基终止剂分散技术；储压式/非储压式灭火装置","电化学储能系统火灾防控系统","储能电站/电化学储能项目客户；新能源电池热管理需求方","灭火剂原材料/储能系统组件供应商","已完成核心技术研发，产品已推出（储压/非储压灭火装置、火灾防控系统），并于2025年7月获得千万元天使轮融资用于产业化推进，技术处于产业化初期阶段。","电池生产与配套集成、新能源汽车及其充换电设施与场站、储能设施与场站（含电站、通信基站、工商及户用储能等）、电动小型车及其充换电网点。","电池安全监测、预警、防护；储能电站、通信基站、工商业及户用储能等设施的火灾防控；新能源汽车及电动小型车充换电场所的消防安全。","大型电动交通工具（如电动巴士、电动船舶）的电池舱消防；便携式电子设备（如充电宝、无人机电池）的安全防护；电池生产、测试、回收过程中的安全防控。","产品销售（灭火装置、防控系统）及技术解决方案提供。","暂无（根据公开信息，未披露具体产能、交付周期或项目案例）。","暂无（根据公开信息，未披露具体认证、资质或专利信息）。公司承担了多项国家级、省部级科研项目。","核心成员均来自华中科技大学储能与动力电池实验室（由首席科学家黄云辉教授于2008年创建），拥有扎实的电化学知识储备和突出的项目研发能力。短板：公司成立于2022年12月，相对年轻，市场验证、规模化生产和商业落地经验可能不足；公开信息中未提及成熟的供应链或明确的标杆客户。","资金（用于产业化推进和核心技术研发）、市场渠道资源（进入电池生产商、新能源汽车厂、储能系统集成商的供应链）、生产制造合作伙伴、项目落地应用场景。","暂无（公司成立于2022年12月，未披露财务数据）。","暂无（根据公开信息，未提及具体竞争对手。其技术差异点在于专注于电池火灾的化学抑制机理，如纳米阻燃薄膜、金属螯合剂、自由基终止剂等，并结合了智慧消防集成系统）。","精确匹配"
"北京中科科氏帛生物科技有限公司","大丽轮枝菌等植物生防菌技术、基因编辑育种、分子标记辅助选择","分子标记辅助选择；棉花等农作物种子、生物农药","暂无（主营业务为农业生物技术/农作物育种，无公开客户信息）","生物育种原材料供应商","　","农业（农药、棉花种植）","农药生产与销售、棉花种质资源合作开发","农业生物技术、作物改良、植物保护","技术研发与产品生产、项目合作开发","　","　","由植物生命科学领域知名专家发起成立，首席执行官为高峰。具体团队成员及短板暂无。","融资（已完成天使轮和Pre-A轮融资，投资方包括中科创星、达晨财智）","　","　","精确匹配"
