start_id,end_id,confidence,source
STG_004_001,KCAP_DISP_001,0.95,expansion_patch_2026-05-12
STG_004_002,KCAP_DISP_001,0.95,expansion_patch_2026-05-12
STG_004_003,KCAP_DISP_001,0.95,expansion_patch_2026-05-12
STG_004_004,KCAP_DISP_003,0.95,expansion_patch_2026-05-12
STG_004_005,KCAP_DISP_002,0.95,expansion_patch_2026-05-12
STG_004_006,KCAP_DISP_003,0.95,expansion_patch_2026-05-12
STG_004_007,KCAP_DISP_004,0.95,expansion_patch_2026-05-12
STG_004_008,KCAP_DISP_005,0.95,expansion_patch_2026-05-12
STG_004_009,KCAP_DISP_005,0.95,expansion_patch_2026-05-12
STG_004_010,KCAP_DISP_004,0.95,expansion_patch_2026-05-12
STG_005_001,KCAP_COMP_001,0.95,expansion_patch_2026-05-12
STG_005_002,KCAP_COMP_001,0.95,expansion_patch_2026-05-12
STG_005_003,KCAP_COMP_001,0.95,expansion_patch_2026-05-12
STG_005_004,KCAP_COMP_002,0.95,expansion_patch_2026-05-12
STG_005_005,KCAP_COMP_003,0.95,expansion_patch_2026-05-12
STG_005_005,KCAP_COMP_004,0.95,expansion_patch_2026-05-12
STG_005_006,KCAP_COMP_003,0.95,expansion_patch_2026-05-12
STG_005_007,KCAP_COMP_005,0.95,expansion_patch_2026-05-12
STG_005_008,KCAP_COMP_005,0.95,expansion_patch_2026-05-12
STG_006_001,KCAP_FUS_001,0.95,expansion_patch_2026-05-12
STG_006_002,KCAP_FUS_002,0.95,expansion_patch_2026-05-12
STG_006_003,KCAP_FUS_003,0.95,expansion_patch_2026-05-12
STG_006_004,KCAP_FUS_003,0.95,expansion_patch_2026-05-12
STG_006_004,KCAP_FUS_004,0.95,expansion_patch_2026-05-12
STG_006_005,KCAP_FUS_004,0.95,expansion_patch_2026-05-12
STG_006_006,KCAP_FUS_005,0.95,expansion_patch_2026-05-12
