legacy_capability_id,legacy_capability_name,current_candidate_key_capability_id,current_candidate_key_capability_name,sub_track_hint,confidence,triage_decision,reason,next_action
CAP_6D1F01947C46,时间门控成像,KCAP_MV_001,成像方案设计能力,光学检测/机器视觉,0.79,保留候选,语义合理但仍偏特种成像技术点，先保留在能力映射候选层,待更多企业样本复核后决定是否正式并入
CAP_3B9CB9716396,单光子探测,KCAP_MV_001,成像方案设计能力,光学检测/机器视觉,0.76,转TechDirection,更像底层探测技术方向而非直接可交付能力,后续纳入 TechDirection 主数据候选
CAP_8B9A8F9F1CC3,皮秒级时间分辨,KCAP_MV_001,成像方案设计能力,光学检测/机器视觉,0.76,转TechDirection,更像设备/探测性能技术方向，不宜直接沉到能力层,后续纳入 TechDirection 主数据候选
CAP_5572D2D87618,激光穿透成像,KCAP_MV_001,成像方案设计能力,光学检测/机器视觉,0.74,保留候选,属于特种成像方案，当前样本不足,待补更多场景证据后再决定
CAP_38A7F1216D7F,片上光电集成芯片技术（片上计量级光谱仪,KCAP_OC_001,高速模块设计能力,光通信/光模块,0.73,转TechDirection,偏底层光电集成技术平台，先作为技术主题更稳,后续纳入光通信 TechDirection 候选
CAP_79C82F79C209,晶体外延技术,KCAP_OC_001,高速模块设计能力,光通信/光模块,0.70,转TechDirection,典型上游工艺技术方向，不是直接交付能力,后续纳入光通信 TechDirection 候选
CAP_9FFC7780572E,高精度晶圆键合,KCAP_OC_001,高速模块设计能力,光通信/光模块,0.73,保留候选,兼具工艺与制造能力属性，暂不硬转能力层,待决定是否单独补制造工艺能力层
CAP_53989F81C252,通信光交换芯片,KCAP_OC_001,高速模块设计能力,光通信/光模块,0.74,转TechDirection,更像产品/技术方向，不是抽象交付能力,后续纳入光通信 TechDirection 候选
CAP_817AFD09475F,光谱分析探测芯片,KCAP_OC_001,高速模块设计能力,光通信/光模块,0.60,保留候选,低置信且可能跨赛道，不适合现在正式并入,待单独判定是否留在光通信链
CAP_30020510ED69,贴片机等,KCAP_OC_005,规模制造与交付能力,光通信/光模块,0.72,正式并入候选,虽然置信度不高但语义上明确支撑制造交付,建议下一轮并入 v3 并做回查验证
CAP_922213104E53,精密驱动技术,KCAP_LA_002,高精度加工控制能力,激光加工/光学装备,0.70,正式并入候选,与执行控制能力关系较稳定，且已有企业案例支撑,建议下一轮并入 v3 并做回查验证
CAP_2E9ECD7C223D,空间微振动控制技术,KCAP_LA_002,高精度加工控制能力,激光加工/光学装备,0.70,保留候选,虽然与控制能力相关，但更偏航天/精密控制特化能力,待与精指向机构能力一起统一处理
