:START_ID,from_label,:TYPE,:END_ID,to_label,raw_value,source_file,row_no
ENT_0AB66A53B61E,Enterprise,PROVIDES_PRODUCT,PROD_1474C24F2F7A,Product,硅光计算芯片,company-info_with_url.xlsx,293
ENT_0AB66A53B61E,Enterprise,HAS_CAPABILITY,CAP_9D56553140A0,Capability,硅光计算芯片技术,company-info_with_url.xlsx,293
ENT_0AB66A53B61E,Enterprise,SERVES_INDUSTRY,IND_C4BE1C92E4B9,Industry,人工智能芯片行业,company-info_with_url.xlsx,293
ENT_0AB66A53B61E,Enterprise,HAS_SUPPLIER,SUP_86E6B2A534AF,Supplier,光学计算芯片原材料供应商,company-info_with_url.xlsx,293
ENT_0AB66A53B61E,Enterprise,HAS_SUPPLIER,SUP_FA6936823350,Supplier,光调制器供应商,company-info_with_url.xlsx,293
ENT_0AB66A53B61E,Enterprise,HAS_SUPPLIER,SUP_F3700D4F7D75,Supplier,硅光子代工厂,company-info_with_url.xlsx,293
ENT_0AB66A53B61E,Enterprise,HAS_DEMAND,DEM_2845018AFC0E,DemandTag,本次融资用途（根据目录6.2）,company-info_with_url.xlsx,293
ENT_20B96F5CEBC2,Enterprise,PROVIDES_PRODUCT,PROD_0E653F23E622,Product,瞬态光学与光子学,company-info_with_url.xlsx,376
ENT_20B96F5CEBC2,Enterprise,PROVIDES_PRODUCT,PROD_B2418274420A,Product,空间光学遥感,company-info_with_url.xlsx,376
ENT_20B96F5CEBC2,Enterprise,PROVIDES_PRODUCT,PROD_3861ECFC3CD0,Product,干涉光谱成像,company-info_with_url.xlsx,376
ENT_20B96F5CEBC2,Enterprise,PROVIDES_PRODUCT,PROD_F1643425065A,Product,光电信息等,company-info_with_url.xlsx,376
ENT_20B96F5CEBC2,Enterprise,HAS_CAPABILITY,CAP_868BBCDDE363,Capability,湿插拔光电复合连接器（应用于水下1600米深度,company-info_with_url.xlsx,376
ENT_20B96F5CEBC2,Enterprise,HAS_CAPABILITY,CAP_AA8B88CBA4DD,Capability,已完成海试对接验证）,company-info_with_url.xlsx,376
ENT_20B96F5CEBC2,Enterprise,HAS_CAPABILITY,CAP_8E461EDF735F,Capability,基础光学,company-info_with_url.xlsx,376
ENT_20B96F5CEBC2,Enterprise,HAS_CAPABILITY,CAP_0C9DEC471EC8,Capability,空间光学,company-info_with_url.xlsx,376
ENT_20B96F5CEBC2,Enterprise,HAS_CAPABILITY,CAP_33CC37227DBD,Capability,光电工程技术,company-info_with_url.xlsx,376
