enterprise_id,enterprise_name,key_capability,relation_type,confidence,sub_track_name,stage_name
E001,西安中科光凝科技有限公司,激光工艺适配能力,HAS_CAPABILITY,0.93,激光加工/光学装备,高端/专用光学装备
E001,西安中科光凝科技有限公司,装备整机集成能力,HAS_CAPABILITY,0.90,激光加工/光学装备,高端/专用光学装备
E003,西湖智能视觉科技（杭州）有限公司,成像方案设计能力,HAS_CAPABILITY,0.86,光学检测/机器视觉,标准视觉系统方案
E003,西湖智能视觉科技（杭州）有限公司,高精度检测算法能力,HAS_CAPABILITY,0.82,光学检测/机器视觉,视觉算法平台
E005,中智科仪（北京）科技有限公司,成像方案设计能力,HAS_CAPABILITY,0.79,光学检测/机器视觉,专用检测设备
E006,徐州光引科技发展有限公司,高速模块设计能力,HAS_CAPABILITY,0.80,光通信/光模块,光电芯片
E013,中科慧远视觉技术（洛阳）有限公司,高精度检测算法能力,HAS_CAPABILITY,0.95,光学检测/机器视觉,专用检测设备
E013,中科慧远视觉技术（洛阳）有限公司,成像方案设计能力,HAS_CAPABILITY,0.88,光学检测/机器视觉,专用检测设备
E013,中科慧远视觉技术（洛阳）有限公司,行业方案交付能力,HAS_CAPABILITY,0.90,光学检测/机器视觉,整线集成与行业解决方案
E020,西安中科天塔科技股份有限公司,客户认证导入能力,HAS_CAPABILITY,0.76,光通信/光模块,AI集群互联
E021,光宇元芯（杭州）光电有限责任公司,高速模块设计能力,HAS_CAPABILITY,0.73,光通信/光模块,光电芯片
E024,西安中科立德红外科技有限公司,成像方案设计能力,HAS_CAPABILITY,0.81,光学检测/机器视觉,专用检测设备
E036,西安朗威科技有限公司,客户认证导入能力,HAS_CAPABILITY,0.71,光通信/光模块,AI集群互联
E036,西安朗威科技有限公司,高精度加工控制能力,HAS_CAPABILITY,0.70,激光加工/光学装备,振镜/加工头/执行单元
E037,镭神技术（深圳）有限公司,高速测试能力,HAS_CAPABILITY,0.95,光通信/光模块,模块测试校准
E037,镭神技术（深圳）有限公司,封装良率控制能力,HAS_CAPABILITY,0.91,光通信/光模块,模块封装组装

