start_id,end_id,confidence,source,enterprise_name,sub_track_name,stage_name
ENT_6B8742C937DE,STG_LA_007,0.90,企业-产业链环节映射表.csv,西安中科光凝科技有限公司,激光加工/光学装备,高端/专用光学装备
ENT_6B8742C937DE,STG_LA_009,0.90,企业-产业链环节映射表.csv,西安中科光凝科技有限公司,激光加工/光学装备,整线方案与工艺交付
ENT_0EEE5F4580B9,STG_MV_007,0.84,企业-产业链环节映射表.csv,西湖智能视觉科技（杭州）有限公司,光学检测/机器视觉,标准视觉系统方案
ENT_0EEE5F4580B9,STG_MV_006,0.84,企业-产业链环节映射表.csv,西湖智能视觉科技（杭州）有限公司,光学检测/机器视觉,视觉算法平台
ENT_0EEE5F4580B9,STG_MV_008,0.84,企业-产业链环节映射表.csv,西湖智能视觉科技（杭州）有限公司,光学检测/机器视觉,专用检测设备
ENT_2E925683CAA7,STG_MV_008,0.79,企业-产业链环节映射表.csv,中智科仪（北京）科技有限公司,光学检测/机器视觉,专用检测设备
ENT_2E925683CAA7,STG_MV_003,0.79,企业-产业链环节映射表.csv,中智科仪（北京）科技有限公司,光学检测/机器视觉,工业相机与图像传感器
ENT_2E925683CAA7,STG_MV_007,0.79,企业-产业链环节映射表.csv,中智科仪（北京）科技有限公司,光学检测/机器视觉,标准视觉系统方案
ENT_203143C4EA39,STG_OC_001,0.88,企业-产业链环节映射表.csv,徐州光引科技发展有限公司,光通信/光模块,光电芯片
ENT_203143C4EA39,STG_OC_002,0.88,企业-产业链环节映射表.csv,徐州光引科技发展有限公司,光通信/光模块,有源器件
ENT_E8D622C209F2,STG_MV_008,0.97,企业-产业链环节映射表.csv,中科慧远视觉技术（洛阳）有限公司,光学检测/机器视觉,专用检测设备
ENT_E8D622C209F2,STG_MV_006,0.97,企业-产业链环节映射表.csv,中科慧远视觉技术（洛阳）有限公司,光学检测/机器视觉,视觉算法平台
ENT_E8D622C209F2,STG_MV_007,0.97,企业-产业链环节映射表.csv,中科慧远视觉技术（洛阳）有限公司,光学检测/机器视觉,标准视觉系统方案
ENT_0D0600D360F2,STG_OC_012,0.80,企业-产业链环节映射表.csv,西安中科天塔科技股份有限公司,光通信/光模块,AI集群互联
ENT_0D0600D360F2,STG_OC_011,0.80,企业-产业链环节映射表.csv,西安中科天塔科技股份有限公司,光通信/光模块,数据中心互联
ENT_0D0600D360F2,STG_OC_013,0.80,企业-产业链环节映射表.csv,西安中科天塔科技股份有限公司,光通信/光模块,电信承载网
ENT_48510E2FE34E,STG_OC_001,0.78,企业-产业链环节映射表.csv,光宇元芯（杭州）光电有限责任公司,光通信/光模块,光电芯片
ENT_48510E2FE34E,STG_OC_002,0.78,企业-产业链环节映射表.csv,光宇元芯（杭州）光电有限责任公司,光通信/光模块,有源器件
ENT_09B9A1BA69E6,STG_MV_008,0.81,企业-产业链环节映射表.csv,西安中科立德红外科技有限公司,光学检测/机器视觉,专用检测设备
ENT_09B9A1BA69E6,STG_MV_007,0.81,企业-产业链环节映射表.csv,西安中科立德红外科技有限公司,光学检测/机器视觉,标准视觉系统方案
ENT_D77802019100,STG_OC_012,0.72,企业-产业链环节映射表.csv,西安朗威科技有限公司,光通信/光模块,AI集群互联
ENT_D77802019100,STG_LA_003,0.72,企业-产业链环节映射表.csv,西安朗威科技有限公司,激光加工/光学装备,振镜/加工头/执行单元
ENT_8C03F68046C7,STG_OC_009,0.95,企业-产业链环节映射表.csv,镭神技术（深圳）有限公司,光通信/光模块,模块测试校准
ENT_8C03F68046C7,STG_OC_008,0.95,企业-产业链环节映射表.csv,镭神技术（深圳）有限公司,光通信/光模块,模块封装组装
ENT_8C03F68046C7,STG_OC_007,0.95,企业-产业链环节映射表.csv,镭神技术（深圳）有限公司,光通信/光模块,光引擎/器件集成
