id:ID,label,name,normalized_name,source_file,:LABEL
PROD_CE3ECAD16438,Product,精密传感器制造,精密传感器制造,company-info_with_url.xlsx,Product
PROD_E0A702D6A9C0,Product,半导体封装,半导体封装,company-info_with_url.xlsx,Product
PROD_03B425528D80,Product,生物芯片加工领域激光设备,生物芯片加工领域激光设备,company-info_with_url.xlsx,Product
CAP_42EFAAE43C01,Capability,超快激光精密焊接技术（异质材料焊接,超快激光精密焊接技术（异质材料焊接,company-info_with_url.xlsx,Capability
CAP_6D7813CF73A8,Capability,特种材料超精密3D成形,特种材料超精密3d成形,company-info_with_url.xlsx,Capability
IND_D2965EF04FFB,Industry,航空航天,航空航天,company-info_with_url.xlsx,Industry
IND_A6099754177C,Industry,生物医疗,生物医疗,company-info_with_url.xlsx,Industry
IND_D2F457C3B2D8,Industry,半导体,半导体,company-info_with_url.xlsx,Industry
IND_EC13D4A81311,Industry,精密电子,精密电子,company-info_with_url.xlsx,Industry
SCN_F13160C5186C,Scenario,玻璃,玻璃,company-info_with_url.xlsx,Scenario
SCN_FDAEA484C3D6,Scenario,蓝宝石,蓝宝石,company-info_with_url.xlsx,Scenario
SCN_DD1BFFC266D7,Scenario,石英等透明材料间以及上述透明材料和金,石英等透明材料间以及上述透明材料和金,company-info_with_url.xlsx,Scenario
SCN_85E0BCCA5AED,Scenario,铜,铜,company-info_with_url.xlsx,Scenario
SCN_A0C1CF775450,Scenario,不锈钢,不锈钢,company-info_with_url.xlsx,Scenario
SCN_DDDAB6882CF8,Scenario,高温合金之间的直接焊接,高温合金之间的直接焊接,company-info_with_url.xlsx,Scenario
CUS_60E0FA8C0A85,Customer,中国电子科技集团第38研究所,中国电子科技集团第38研究所,company-info_with_url.xlsx,Customer
CUS_21C6421E88E5,Customer,中国航空工业集团西安飞行自动控制研究所,中国航空工业集团西安飞行自动控制研究所,company-info_with_url.xlsx,Customer
CUS_0ED7240F3EF2,Customer,浙江大学杭州国际科创中心,浙江大学杭州国际科创中心,company-info_with_url.xlsx,Customer
CUS_D57B0A834F37,Customer,中科院物理研究院绵阳某院,中科院物理研究院绵阳某院,company-info_with_url.xlsx,Customer
SUP_1B5E9BB14515,Supplier,激光器,激光器,company-info_with_url.xlsx,Supplier
SUP_0C215D688B8A,Supplier,光学元件供应商,光学元件供应商,company-info_with_url.xlsx,Supplier
PROD_23901B9B2A5A,Product,MEMS光学传感器（压力,mems光学传感器（压力,company-info_with_url.xlsx,Product
PROD_83CC7601E7B6,Product,应变,应变,company-info_with_url.xlsx,Product
PROD_A46468E0A0B8,Product,位移,位移,company-info_with_url.xlsx,Product
PROD_BDF27CF3973E,Product,温度,温度,company-info_with_url.xlsx,Product
PROD_12DE3230DD3B,Product,声音）,声音）,company-info_with_url.xlsx,Product
PROD_91DF206214C4,Product,全光谱光纤传感分析仪,全光谱光纤传感分析仪,company-info_with_url.xlsx,Product
PROD_B8A9DAD79583,Product,传感分析软件平台,传感分析软件平台,company-info_with_url.xlsx,Product
CAP_6620660BDA31,Capability,MEMS光学传感核心技术（光谱干涉仪MEMS芯片化制造,mems光学传感核心技术（光谱干涉仪mems芯片化制造,company-info_with_url.xlsx,Capability
CAP_CDE5FDC75D87,Capability,异质巨集成体硅工艺）,异质巨集成体硅工艺）,company-info_with_url.xlsx,Capability
IND_197DE478259A,Industry,风电,风电,company-info_with_url.xlsx,Industry
IND_243D56AAA437,Industry,轨道交通,轨道交通,company-info_with_url.xlsx,Industry
IND_1619BDA02F7C,Industry,核电,核电,company-info_with_url.xlsx,Industry
IND_08127954F811,Industry,船舶,船舶,company-info_with_url.xlsx,Industry
IND_EC2F2934D0EC,Industry,智慧城市,智慧城市,company-info_with_url.xlsx,Industry
IND_8E8ADC1F9EF9,Industry,智能电网,智能电网,company-info_with_url.xlsx,Industry
IND_32D5250A30F4,Industry,工业测温。,工业测温。,company-info_with_url.xlsx,Industry
SCN_9BC0094E4889,Scenario,1. 风电：存量风机技改（提供传感器,1. 风电：存量风机技改（提供传感器,company-info_with_url.xlsx,Scenario
SCN_5149E04E8396,Scenario,解调仪硬件和软件算法的整套解决方案）及新增风机前装。2. 轨道交通：地铁线路弓网压力监测。3. 航空航天,解调仪硬件和软件算法的整套解决方案）及新增风机前装。2. 轨道交通：地铁线路弓网压力监测。3. 航空航天,company-info_with_url.xlsx,Scenario
SCN_6EFAE4F8872C,Scenario,核电：高精度传感器进口替代。,核电：高精度传感器进口替代。,company-info_with_url.xlsx,Scenario
