"unified_enterprise_id","legacy_enterprise_id","enterprise_name","match_status"
"E001","ENT_D7C120A97FCC","西安中科光凝科技有限公司","matched"
"E002","ENT_FE60ED7D4BC1","上海拜安传感技术有限公司","matched"
"E003","ENT_0EEE5F4580B9","西湖智能视觉科技（杭州）有限公司","matched"
"E004","ENT_89E59878D011","无锡安科迪智能技术有限公司","matched"
"E005","ENT_2E925683CAA7","中智科仪（北京）科技有限公司","matched"
"E006","ENT_203143C4EA39","徐州光引科技发展有限公司","matched"
"E007","ENT_35DA8ECCF3D5","中科海锐（厦门）科技研究院有限公司","matched"
"E008","ENT_BF4D182DF9F3","西安聚安光科物联网科技有限公司","matched"
"E009","ENT_0B6BB348F95A","南京锂泰新能源科技有限公司","matched"
"E010","ENT_F6DEF23B558E","北京中科科氏帛生物科技有限公司","matched"
"E011","ENT_C1A1CD7B1D4B","江苏华生基因数据科技股份有限公司","matched"
"E012","ENT_CC33D53F0191","南京模砾半导体有限责任公司","matched"
"E013","ENT_E8D622C209F2","中科慧远视觉技术（洛阳）有限公司","matched"
"E014","ENT_A995A0A4B748","重庆中科超容科技有限公司","matched"
"E015","ENT_CC6F05348B36","上海奇绩智峰智能科技有限公司","matched"
"E016","ENT_C01129650776","蓝箭科技（衢州）有限公司","matched"
"E017","ENT_6A4EE8070FD7","江西国化实业有限公司","matched"
"E018","ENT_3C7CD74718AD","广州力及热管理科技有限公司","matched"
"E019","ENT_E84ABF776034","墨光新能科技（苏州）有限公司","matched"
"E020","ENT_0D0600D360F2","西安中科天塔科技股份有限公司","matched"
"E021","ENT_48510E2FE34E","光宇元芯（杭州）光电有限责任公司","matched"
"E022","ENT_85CEF884C821","深圳扑浪量子半导体有限公司","matched"
"E023","ENT_2153877D1CBE","大同共聚（西安）科技有限公司","matched"
"E024","ENT_09B9A1BA69E6","西安中科立德红外科技有限公司","matched"
"E025","ENT_FA343A79089A","湖南新锋科技有限公司","matched"
"E026","ENT_C7BA559D252F","西安声海智能科技有限公司","matched"
"E027","ENT_6436C64466AD","青岛中科国晟动力科技有限公司","matched"
"E028","ENT_4381C16962EE","深圳劲芯微电子有限公司","matched"
"E029","ENT_E88E8F323792","北京临一云川能源技术有限公司","matched"
"E030","ENT_B4DC4105E42D","风脉能源（武汉）股份有限公司","matched"
"E031","ENT_61C01ABA8167","北京中科海钠科技有限责任公司","matched"
"E032","ENT_FCA97ACDA4CA","北京氢羿能源科技有限公司","matched"
"E033","ENT_B7BAD180509B","山东轻化致远新材料科技有限公司","matched"
"E034","ENT_7D993D7B1BF3","成都空间矩阵科技有限公司","matched"
"E035","ENT_EAF8651EAC10","陕西道博新材科技有限公司","matched"
"E036","ENT_D77802019100","西安朗威科技有限公司","matched"
"E037","ENT_8C03F68046C7","镭神技术（深圳）有限公司","matched"
"E038","ENT_42868B94B6AE","西安乾景防务技术有限公司","matched"
"E039","ENT_E409DBCC30E2","芯聚威科技（成都）有限公司","matched"

