id:ID,label,name,source_file,row_no,:LABEL,core_technology,technology_maturity,possible_scenarios,business_model,delivery_capability,certification_ip,founder_team_and_gap,recent_revenue_profit,competition_and_diff,match_level,website_url
ENT_0AB66A53B61E,Enterprise,上海曦智科技有限公司,company-info_with_url.xlsx,293,Enterprise,硅光计算芯片技术,,人工智能芯片的主要应用场景（根据目录3.2.2）,,,知识产权和专利（根据目录4.2.2）,核心团队（根据目录2.3）、团队评价（根据目录2.9）,过往财务分析（根据目录5.1.4）、财务预测（根据目录5.2）,竞争格局（根据目录3.3，包括芯片巨头公司、跨界巨头公司、创业公司、全球光计算相关公司）,未匹配,https://www.shuididp.cn/yp-a770585a185f96933ab1ada4cbabd301.html
ENT_20B96F5CEBC2,Enterprise,中国科学院西安光学精密机械研究所,company-info_with_url.xlsx,376,Enterprise,湿插拔光电复合连接器（应用于水下1600米深度，已完成海试对接验证）；基础光学、空间光学、光电工程技术,湿插拔光电复合连接器已完成1600米深海海试对接验证，并已并入海底观测网开展长期测试，技术成熟度较高。其他光学技术为研究所长期积累，成熟度高。,深海资源勘探开发、水下机器人作业、海洋科学研究长期观测节点、水下军事设施。,作为国家级科研院所，其技术成果转化模式可能包括技术授权、合作研发、定制化产品供应等。其下属的西安中科光机投资控股有限公司（西科控股）负责孵化与投资，推动科技成果产业化。,具备湿插拔光电复合连接器样机研制及海试验证能力。作为大型综合性研究所，具备从基础研究到工程化开发的完整链条，交付能力取决于具体项目需求和合作模式。,中国科学院下属国家级科研机构，拥有多个国家重点实验室及中科院重点实验室（如超快光科学与技术全国重点实验室、中国科学院光谱成像技术重点实验室等）。湿插拔光电复合连接器相关技术应拥有自主知识产权。,创始团队：成立于1962年，隶属于中国科学院，拥有强大的科研团队和院士专家。短板：作为事业单位/科研院所，在市场化运营、批量生产、成本控制和快速响应商业市场需求方面可能存在不足。,暂无。作为非营利性科研机构，其财务数据不公开或不以营收利润为主要考核指标。其下属产业化公司的财务数据未提供。,竞对：国际领先的水下连接器厂商（如泰科电子、西门子等）。技术差异：中科院西安光机所的湿插拔光电复合连接器是国内首套通过海试对接验证的同类产品，突破了国外在深海光电复合连接领域的垄断，被列入“卡脖子”技术清单，实现了国产化替代。,未匹配,https://www.opt.ac.cn/
ENT_864B324D6BEF,Enterprise,中科晶锐（苏州）科技有限公司,company-info_with_url.xlsx,377,Enterprise,智能无人协同、人工智能计算、多传感器融合、智能无人机研发,产品研发能力居于业内领先水平，具有全栈AI工程化能力，已形成系列核心产品。,军事、安防、巡检、物流、测绘等需要无人机系统及智能化解决方案的领域。,产品销售、系统解决方案提供。,具备全栈AI工程化能力，致力于提供先进可靠的智能化解决方案。,国家级科技型中小企业、省级科技型中小企业、高新企业（根据网络搜索结果）。,团队来自国防科大、中科院、哈工大、北航、南航及小米、华为、百度等顶尖高校与企业；短板信息暂无。,暂无（信息不足）,暂无（信息不足）,未匹配,https://ginray.net/
ENT_50C460EF1428,Enterprise,西安幂辉科技有限责任公司,company-info_with_url.xlsx,378,Enterprise,压力变送器系列（高频响、高精度、高温、小型、微压）、温压一体化变送器、液位变送器、流量计；硅基压力传感器技术、金属电容真空计及变送器技术、陶瓷电容压力传感器技术、应变计压力传感器技术、温度及流量传感器技术；具备从芯片设计、制作、封装到传感器装调、测试的全流程能力，依托6英寸高水平MEMS流片线实现芯片自主可控。,成熟，已实现产业化。拥有以博士、硕士为主体的科研团队及15年以上中高端传感器工程经验的研发生产团队，产品已批量应用于多个领域。,暂无（基于现有信息，应用场景已较为明确和广泛）。,研发、生产、销售传感器及变送器产品，并提供应用服务。,具备从芯片级到系统级的全流程研发和生产能力，产品系列覆盖压力、温度、液位、流量等多种类型，压力范围覆盖1kPa~100MPa。,发明专利15项（根据创始人信息），发表论文10余篇。具体行业认证/资质信息暂无。,创始团队：赵建坤（创始人/总经理，北京大学博士，MEMS压力传感器研究及产业化10年，负责运营、财务、市场）；张恒（技术负责人，MEMS压力传感器研发及产业化20年，曾任知名企业研发总监，负责技术规划、项目管理）；王朝阳（市场负责人，MEMS压力传感器行业13年，曾任知名企业销售总监，负责市场规划及开拓）。短板：市场公开信息中未明确提及，但作为一家A轮融资后的科技公司，可能在规模化市场拓展、品牌知名度、资金持续投入等方面存在挑战。,,竞对信息暂无。技术差异：自称是国内极少数覆盖从芯片级到系统级的企业，国内唯一覆盖1kPa~100MPa压力范围的企业，拥有自主的MEMS芯片流片能力。,未匹配,
ENT_6B85A2FD7A2E,Enterprise,北京中科慧灵机器人技术有限公司,company-info_with_url.xlsx,379,Enterprise,专注于通用人形机器人与具身智能技术,处于研发与早期产品化阶段，已完成天使轮及天使+轮融资，产品正在向实际应用场景落地推进。,商业服务、工业制造、井下能源、国防航天等领域的高风险、高强度及重复性工作场景。,研发、制造并销售智能机器人产品及提供相关解决方案。,暂无（公开信息未披露具体产品交付能力与规模）。,创始人团队拥有多项授权发明专利（36项）及学术成果，具体公司资质信息暂无。,创始团队技术背景强：创始人张正涛为中科院特聘核心研究员，在机器视觉、智能机器人领域有深厚积累；联合创始人张淼具有AI商业化及投融资经验。短板：公司成立于2023年，相对年轻，产品大规模商业化落地和市场验证可能尚需时间。,暂无（公司成立于2023年，未披露财务数据）。,暂无（公开信息未明确列出直接竞对并进行技术差异对比）。,未匹配,https://casbot.tech/
ENT_76A3C48385C5,Enterprise,江苏华茂德科技有限公司,company-info_with_url.xlsx,380,Enterprise,风冷、液冷散热解决方案；电子材料研发+散热技术应用,核心团队具有20余年散热系统开发制造经验，已形成具体产品线，技术较为成熟。,网通设备散热、数据中心散热、其他消费电子产品散热、新能源汽车相关部件散热。,暂无（PDF原文未明确说明）,暂无（PDF原文未明确说明，但拥有核心团队和具体产品方案，具备一定交付基础）,暂无（PDF原文未提及）,核心团队具有20余年散热系统开发制造经验。短板：公司成立于2024年，成立时间较短，市场验证和客户积累可能不足。,暂无（公司成立于2024年，无近三年完整财务数据）,暂无（PDF原文未提及具体竞争对手及技术差异）,未匹配,
ENT_CC72134D8722,Enterprise,上海埃瓦智能科技有限公司,company-info_with_url.xlsx,381,Enterprise,从事智能科技、集成电路科技、计算机科技领域内的技术开发、技术咨询、技术服务、技术转让，集成电路芯片设计服务，计算机软件开发，数据处理服务，新兴软件及服务。拥有多项图像处理、双目立体匹配、人脸识别、智能锁等相关专利。,已拥有43项专利，并被认定为高新技术企业，具备一定的技术研发和产品化能力。,智慧城市、智能制造、AI绘画、AI生成文本等领域的技术整合与应用。,技术开发、技术咨询、技术服务、技术转让、软件销售及货物或技术进出口。,,高新技术企业（证书编号：GR202431000026，发证日期：2024年12月26日）；拥有43项专利，3条商标信息，1项行政许可；营业执照统一社会信用代码：91310115MA1HB06W4E。,法定代表人/执行董事：王赟；监事：张官兴。短板信息暂无。,,,未匹配,https://www.aivatech.com/
ENT_B06F51370F64,Enterprise,迈默智塔（无锡）科技有限公司,company-info_with_url.xlsx,382,Enterprise,,,,,,,,,,未匹配,
ENT_7CADEF58651D,Enterprise,北京中科富海低温科技有限公司,company-info_with_url.xlsx,383,Enterprise,大型低温制冷技术（20K以下）、液氢/液氦低温制冷装备、氢氦制冷机/液化装置、BOG低温提氦装置、稀有气体精制装置、大型氢液化设备（100%国产化，液化能力5吨/天）,高。国内唯一、全球第三家拥有20K以下大型低温制冷技术的制造企业，技术具有自主知识产权，已实现产品化和工程应用，解决国家重大关键“卡脖子”技术。,由低温技术衍生的氦提取纯化、氢液化提纯、特气、空分等万亿规模市场。未来在氢能源市场的业绩爆发。,高新技术企业，集大型低温制冷装备设计制造、工程系统解决方案与民族工业气体服务为一体的供应商。提供设备及一体化解决方案。,具备大型低温制冷装备设计制造及工程系统解决方案交付能力。是国内唯一能够实现从天然气BOG中提取氦气并液化的企业，也是国内唯一100%国产化大型氢液化设备制造商。,国家高新技术企业、国家级专精特新“小巨人”企业、科技成果转换奖特等奖、“十三五”中国气体行业50强企业。核心团队拥有20个以上关于低温制冷机、压缩机及低温真空泵的全球性专利。,创始团队技术背景雄厚：董事长张彦奇博士（中科院理化所）、总经理高金林博士（中日美低温工程协会成员，拥有多项国际专利）、首席科学家龚领会博士（中科院理化所研究员，大型低温系统项目副总指挥，30年经验）。短板：信息中未明确提及管理、市场或资金等方面的短板。,暂无。公开信息未提供具体财务数据。,全球对标企业为林德（万亿市值）。技术差异：中科富海是国内唯一拥有自主20K以下大型低温制冷技术及氢液化设备100%国产化能力的企业，解决了国家战略气体资源“卡脖子”问题，具有极强的稀缺性。,未匹配,https://www.fullcryo.com/
ENT_9458BC5BE345,Enterprise,北京碳垣新材料科技有限公司,company-info_with_url.xlsx,384,Enterprise,石墨烯/铜复合粉末（基于原位生长包覆技术）,已实现碳纳米管宏观体材料及石墨烯/铜复合粉末的规模化生产，产品有小批定制和批量生产，技术处于产业化阶段。,更多汽车品牌的热管理方案、大规模电网导电材料、高端电子元器件散热、民用消费品（如智能穿戴加热）等。,研发、生产与销售新材料产品，与车企、高校、研究所、国网等开展合作研发与验证。,碳纳米管纤维可连续5000米小批定制；碳纳米管自支撑薄膜年产10万㎡（2025年达20万㎡）；屏蔽绕包带2024年底可连续1000米。在北京通州、河北廊坊设有办公、研发、生产场地。,国家高新技术企业、中关村高新技术企业、中关村石墨烯产业联盟理事单位、廊坊市碳芯电线电缆研发中心、河北省生物质碳材料工程技术中心、威海碳纳米管薄膜工程中心、ISO9001质量管理体系认证；核心团队申请专利20余项。,创始人/董事长侯红亮博士，首席科学家，北京科技大学工学博士，中国航空制造技术研究院研究员、博士生导师，军委科技委国防科技特区主题专家，主持多项国家级科研项目，经验丰富。短板：网络信息中提及法定代表人另有其人（刘毅杰），可能存在管理或股权结构复杂性；市场客户目前以零星和研究合作为主，大规模商业化订单有待突破。,,暂无直接竞对信息。技术差异：自称是国内唯一实现碳纳米管宏观体材料及核壳结构石墨烯/铜复合粉末规模化生产的公司，拥有原创石墨烯/铜原位生长包覆技术。,未匹配,https://www.tanrand.com/
