id:ID,label,name,normalized_name,source_file,:LABEL
PROD_0E653F23E622,Product,瞬态光学与光子学,瞬态光学与光子学,company-info_with_url.xlsx,Product
PROD_B2418274420A,Product,空间光学遥感,空间光学遥感,company-info_with_url.xlsx,Product
PROD_3861ECFC3CD0,Product,干涉光谱成像,干涉光谱成像,company-info_with_url.xlsx,Product
PROD_F1643425065A,Product,光电信息等,光电信息等,company-info_with_url.xlsx,Product
CAP_868BBCDDE363,Capability,湿插拔光电复合连接器（应用于水下1600米深度,湿插拔光电复合连接器（应用于水下1600米深度,company-info_with_url.xlsx,Capability
CAP_AA8B88CBA4DD,Capability,已完成海试对接验证）,已完成海试对接验证）,company-info_with_url.xlsx,Capability
CAP_8E461EDF735F,Capability,基础光学,基础光学,company-info_with_url.xlsx,Capability
CAP_0C9DEC471EC8,Capability,空间光学,空间光学,company-info_with_url.xlsx,Capability
CAP_33CC37227DBD,Capability,光电工程技术,光电工程技术,company-info_with_url.xlsx,Capability
IND_943110B8FC7C,Industry,海洋工程（海底观测网,海洋工程（海底观测网,company-info_with_url.xlsx,Industry
IND_32A9AACBA4F9,Industry,深海实验站,深海实验站,company-info_with_url.xlsx,Industry
IND_CD25606E82EB,Industry,油气钻采平台）,油气钻采平台）,company-info_with_url.xlsx,Industry
IND_5462DE6EA50B,Industry,国防安全,国防安全,company-info_with_url.xlsx,Industry
IND_044F195C235F,Industry,水下无人平台（高速通信,水下无人平台（高速通信,company-info_with_url.xlsx,Industry
IND_D7F86033CBDF,Industry,充电）。,充电）。,company-info_with_url.xlsx,Industry
SCN_7CC0110D5026,Scenario,1,1,company-info_with_url.xlsx,Scenario
SCN_621705916DD1,Scenario,海底观测网模块化布放的关键节点连接,海底观测网模块化布放的关键节点连接,company-info_with_url.xlsx,Scenario
SCN_1C7E515E22E7,Scenario,2,2,company-info_with_url.xlsx,Scenario
SCN_EF919791574A,Scenario,深海实验站设备连接,深海实验站设备连接,company-info_with_url.xlsx,Scenario
SCN_F0D896EA2C45,Scenario,3,3,company-info_with_url.xlsx,Scenario
SCN_7FAD00E7EC7A,Scenario,油气钻采平台水下设备连接,油气钻采平台水下设备连接,company-info_with_url.xlsx,Scenario
SCN_75F11F74B4AC,Scenario,4,4,company-info_with_url.xlsx,Scenario
SCN_9F6D12CDCD57,Scenario,水下无人平台的高速通信与充电接口。,水下无人平台的高速通信与充电接口。,company-info_with_url.xlsx,Scenario
CUS_A4253C6FEA35,Customer,海底观测网建设与运营方,海底观测网建设与运营方,company-info_with_url.xlsx,Customer
CUS_FDE809688B51,Customer,海洋钻采平台,海洋钻采平台,company-info_with_url.xlsx,Customer
CUS_F5F8CC9FDED6,Customer,国家安全相关单位,国家安全相关单位,company-info_with_url.xlsx,Customer
DEM_C1984F4FEC2D,DemandTag,需要将“卡脖子”关键技术（如湿插拔连接器）进行大规模产业化所需的资金,需要将“卡脖子”关键技术（如湿插拔连接器）进行大规模产业化所需的资金,company-info_with_url.xlsx,DemandTag
DEM_D24E99588DDB,DemandTag,规模化生产管理经验,规模化生产管理经验,company-info_with_url.xlsx,DemandTag
DEM_AE3A11878F14,DemandTag,成熟的市场渠道和供应链资源。,成熟的市场渠道和供应链资源。,company-info_with_url.xlsx,DemandTag
PROD_90EBCAB7CBC5,Product,微型智能无人直升机,微型智能无人直升机,company-info_with_url.xlsx,Product
PROD_92237FDBF950,Product,低成本智能无人机,低成本智能无人机,company-info_with_url.xlsx,Product
PROD_8BD61D5A680F,Product,智能光电吊舱,智能光电吊舱,company-info_with_url.xlsx,Product
PROD_436D1C27E999,Product,智能无人集群系统,智能无人集群系统,company-info_with_url.xlsx,Product
PROD_6C6399077233,Product,智能任务计算单元等,智能任务计算单元等,company-info_with_url.xlsx,Product
