enterprise_id,enterprise_name,main_sub_track,secondary_sub_tracks,judgement_basis,confidence,manual_review_status,review_notes,reviewer
E001,西安中科光凝科技有限公司（人工核对）,激光加工/光学装备,,超快激光精密焊接技术+激光设备+半导体/生物芯片加工场景命中,0.93,已确认,典型激光精密加工装备方向,
E002,上海拜安传感技术有限公司,,,,企业偏MEMS光学传感与工业监测，不在当前三条链核心范围内,0.20,不适用,建议暂不纳入三条样板产业链,
E003,西湖智能视觉科技（杭州）有限公司,光学检测/机器视觉,,单曝光高光谱/高速视频/3D检测+工业检测场景命中,0.84,待复核,偏计算成像与检测系统，主子赛道可先挂机器视觉,
E004,无锡安科迪智能技术有限公司,光学检测/机器视觉,,阵列计算成像+监控相机+空间感知平台命中机器视觉/成像系统方向,0.72,待复核,偏安防视觉与空间感知，不是典型工业检测，建议复核,
E005,中智科仪（北京）科技有限公司,光学检测/机器视觉,,时间门控成像+单光子探测+穿透成像设备命中成像检测方向,0.70,待复核,偏科研光电探测与特种成像，先挂机器视觉相关成像链,
E006,徐州光引科技发展有限公司,光通信/光模块,,片上光电集成芯片+通信光交换芯片+光谱探测芯片命中光通信上游芯片方向,0.88,待复核,同时涉及光谱检测，主子赛道先挂光通信/光模块,
E007,中科海锐（厦门）科技研究院有限公司,,,,主营为空心玻璃微球材料，不在当前三条链核心范围内,0.10,不适用,暂不纳入三条样板产业链,
E008,西安聚安光科物联网科技有限公司,光学检测/机器视觉,光通信/光模块,光纤传感/光电监测系统为主，核心应用在监测感知；兼具光电芯片与传感能力,0.63,待复核,主挂光学检测/机器视觉较勉强，需二轮复核是否单列传感赛道,
E009,南京锂泰新能源科技有限公司,,,,储能消防，不在当前三条链核心范围内,0.05,不适用,暂不纳入三条样板产业链,
E010,北京中科科氏帛生物科技有限公司,,,,农业生物技术，不在当前三条链核心范围内,0.00,不适用,暂不纳入三条样板产业链,
E011,江苏华生基因数据科技股份有限公司,,,,基因检测软件，不在当前三条链核心范围内,0.00,不适用,暂不纳入三条样板产业链,
E012,南京模砾半导体有限责任公司,,,,电池管理与数模芯片，不在当前三条链核心范围内,0.05,不适用,暂不纳入三条样板产业链,
E013,中科慧远视觉技术（洛阳）有限公司,光学检测/机器视觉,,工业外观精密检测+机器视觉+视觉检测装备高度命中,0.97,已确认,典型工业视觉检测装备企业,
E014,重庆中科超容科技有限公司,,,,超级电容，不在当前三条链核心范围内,0.00,不适用,暂不纳入三条样板产业链,
E015,上海奇绩智峰智能科技有限公司,,,,通用大模型/AI软件，不在当前三条链核心范围内,0.00,不适用,暂不纳入三条样板产业链,
E016,蓝箭科技（衢州）有限公司,,,,防热涂料，不在当前三条链核心范围内,0.00,不适用,暂不纳入三条样板产业链,
E017,江西国化实业有限公司,,,,含氟化学品/冷却液，不在当前三条链核心范围内,0.00,不适用,暂不纳入三条样板产业链,
E018,广州力及热管理科技有限公司,光通信/光模块,,液冷散热器/均温板等热管理模组与高速光模块/数据中心热管理存在较强相关性,0.51,待复核,属于配套热管理，是否纳入光模块链需复核,
E019,墨光新能科技（苏州）有限公司,,,,辐射制冷材料，不在当前三条链核心范围内,0.05,不适用,暂不纳入三条样板产业链,
E020,西安中科天塔科技股份有限公司,光通信/光模块,,激光通信终端直接命中光通信下游高端应用方向,0.82,待复核,偏空间激光通信终端，主子赛道可挂光通信/光模块,
E021,光宇元芯（杭州）光电有限责任公司,光通信/光模块,,光电芯片/Micro LED/光通信光源命中光电芯片上游方向,0.74,待复核,兼具显示方向，但可先挂光通信上游光电芯片,
E022,深圳扑浪量子半导体有限公司,,,,量子点显示材料，不在当前三条链核心范围内,0.10,不适用,暂不纳入三条样板产业链,
E023,大同共聚（西安）科技有限公司,,,,PI材料，不在当前三条链核心范围内,0.00,不适用,暂不纳入三条样板产业链,
E024,西安中科立德红外科技有限公司,光学检测/机器视觉,,红外成像与测量设备+智能光电设备命中特种成像检测方向,0.76,待复核,偏红外光电与成像检测，可先挂机器视觉/光学检测,
E025,湖南新锋科技有限公司,,,,BDD电极与水处理，不在当前三条链核心范围内,0.00,不适用,暂不纳入三条样板产业链,
E026,西安声海智能科技有限公司,,,,音频感知，不在当前三条链核心范围内,0.00,不适用,暂不纳入三条样板产业链,
E027,青岛中科国晟动力科技有限公司,,,,燃气轮机，不在当前三条链核心范围内,0.00,不适用,暂不纳入三条样板产业链,
E028,深圳劲芯微电子有限公司,,,,无线充电芯片，不在当前三条链核心范围内,0.00,不适用,暂不纳入三条样板产业链,
E029,北京临一云川能源技术有限公司,,,,高空风电，不在当前三条链核心范围内,0.00,不适用,暂不纳入三条样板产业链,
E030,风脉能源（武汉）股份有限公司,,,,新能源项目开发，不在当前三条链核心范围内,0.00,不适用,暂不纳入三条样板产业链,
E031,北京中科海钠科技有限责任公司,,,,钠离子电池，不在当前三条链核心范围内,0.00,不适用,暂不纳入三条样板产业链,
E032,北京氢羿能源科技有限公司,,,,电解水制氢，不在当前三条链核心范围内,0.00,不适用,暂不纳入三条样板产业链,
E033,山东轻化致远新材料科技有限公司,,,,碳纳米材料，不在当前三条链核心范围内,0.00,不适用,暂不纳入三条样板产业链,
E034,成都空间矩阵科技有限公司,,,,电子对抗，不在当前三条链核心范围内,0.00,不适用,暂不纳入三条样板产业链,
E035,陕西道博新材科技有限公司,,,,航空复材，不在当前三条链核心范围内,0.00,不适用,暂不纳入三条样板产业链,
E036,西安朗威科技有限公司,光通信/光模块,激光加工/光学装备,激光通信用精指向机构+精密驱动控制命中光通信终端配套，同时具备精密执行单元属性,0.67,待复核,优先挂光通信/光模块下游配套，次挂激光加工/光学装备,
E037,镭神技术（深圳）有限公司,光通信/光模块,激光加工/光学装备,光芯片后道精密设备+光路耦合/测试/老化设备高度命中光模块中游制造链,0.94,已确认,典型光通信/光模块制造设备企业,
E038,西安乾景防务技术有限公司,,,,相控阵天线，不在当前三条链核心范围内,0.00,不适用,暂不纳入三条样板产业链,
E039,芯聚威科技（成都）有限公司,,,,ADC/AFE芯片，非当前三条链核心范围,0.10,不适用,暂不纳入三条样板产业链,
