start_id,end_id,confidence,source,enterprise_name,sub_track_name,key_capability_name
ENT_6B8742C937DE,KCAP_LA_001,0.93,企业能力-关键能力映射表.csv,西安中科光凝科技有限公司,激光加工/光学装备,激光工艺适配能力
ENT_6B8742C937DE,KCAP_LA_003,0.90,企业能力-关键能力映射表.csv,西安中科光凝科技有限公司,激光加工/光学装备,装备整机集成能力
ENT_0EEE5F4580B9,KCAP_MV_001,0.86,企业能力-关键能力映射表.csv,西湖智能视觉科技（杭州）有限公司,光学检测/机器视觉,成像方案设计能力
ENT_0EEE5F4580B9,KCAP_MV_002,0.82,企业能力-关键能力映射表.csv,西湖智能视觉科技（杭州）有限公司,光学检测/机器视觉,高精度检测算法能力
ENT_2E925683CAA7,KCAP_MV_001,0.79,企业能力-关键能力映射表.csv,中智科仪（北京）科技有限公司,光学检测/机器视觉,成像方案设计能力
ENT_203143C4EA39,KCAP_OC_001,0.80,企业能力-关键能力映射表.csv,徐州光引科技发展有限公司,光通信/光模块,高速模块设计能力
ENT_E8D622C209F2,KCAP_MV_002,0.95,企业能力-关键能力映射表.csv,中科慧远视觉技术（洛阳）有限公司,光学检测/机器视觉,高精度检测算法能力
ENT_E8D622C209F2,KCAP_MV_001,0.88,企业能力-关键能力映射表.csv,中科慧远视觉技术（洛阳）有限公司,光学检测/机器视觉,成像方案设计能力
ENT_E8D622C209F2,KCAP_MV_005,0.90,企业能力-关键能力映射表.csv,中科慧远视觉技术（洛阳）有限公司,光学检测/机器视觉,行业方案交付能力
ENT_0D0600D360F2,KCAP_OC_006,0.76,企业能力-关键能力映射表.csv,西安中科天塔科技股份有限公司,光通信/光模块,客户认证导入能力
ENT_48510E2FE34E,KCAP_OC_001,0.73,企业能力-关键能力映射表.csv,光宇元芯（杭州）光电有限责任公司,光通信/光模块,高速模块设计能力
ENT_09B9A1BA69E6,KCAP_MV_001,0.81,企业能力-关键能力映射表.csv,西安中科立德红外科技有限公司,光学检测/机器视觉,成像方案设计能力
ENT_D77802019100,KCAP_OC_006,0.71,企业能力-关键能力映射表.csv,西安朗威科技有限公司,光通信/光模块,客户认证导入能力
ENT_D77802019100,KCAP_LA_002,0.70,企业能力-关键能力映射表.csv,西安朗威科技有限公司,激光加工/光学装备,高精度加工控制能力
ENT_8C03F68046C7,KCAP_OC_004,0.95,企业能力-关键能力映射表.csv,镭神技术（深圳）有限公司,光通信/光模块,高速测试能力
ENT_8C03F68046C7,KCAP_OC_003,0.91,企业能力-关键能力映射表.csv,镭神技术（深圳）有限公司,光通信/光模块,封装良率控制能力
