from_substage_id,to_substage_id,relation_type,description
SUB_OC_001,SUB_OC_015,UPSTREAM_OF,激光器芯片支撑TOSA发射组件
SUB_OC_002,SUB_OC_016,UPSTREAM_OF,探测器芯片支撑ROSA接收组件
SUB_OC_004,SUB_OC_029,UPSTREAM_OF,硅光芯片支撑硅光模块
SUB_OC_005,SUB_OC_027,UPSTREAM_OF,驱动/TIA芯片支撑高速光模块
SUB_OC_015,SUB_OC_027,UPSTREAM_OF,TOSA支撑100G/400G光模块
SUB_OC_016,SUB_OC_027,UPSTREAM_OF,ROSA支撑100G/400G光模块
SUB_OC_027,SUB_OC_040,UPSTREAM_OF,高速光模块支撑交换机光互联
SUB_OC_028,SUB_OC_042,UPSTREAM_OF,800G/1.6T光模块支撑AI集群互联
SUB_OC_034,SUB_OC_043,UPSTREAM_OF,WDM复用器件支撑城域光传输
SUB_LA_001,SUB_LA_030,UPSTREAM_OF,光纤激光器支撑激光切割设备
SUB_LA_001,SUB_LA_031,UPSTREAM_OF,光纤激光器支撑激光焊接设备
SUB_LA_002,SUB_LA_040,UPSTREAM_OF,超快激光器支撑微纳加工装备
SUB_LA_005,SUB_LA_056,UPSTREAM_OF,准分子/深紫外光源支撑光刻光源相关部件
SUB_LA_011,SUB_LA_057,UPSTREAM_OF,半导体精密光学镜组支撑半导体精密光学系统
SUB_LA_012,SUB_LA_032,UPSTREAM_OF,振镜支撑激光打标设备
SUB_LA_013,SUB_LA_030,UPSTREAM_OF,切割头支撑激光切割设备
SUB_LA_014,SUB_LA_031,UPSTREAM_OF,焊接头支撑激光焊接设备
SUB_LA_016,SUB_LA_053,UPSTREAM_OF,熔覆头支撑激光熔覆装备
SUB_LA_018,SUB_LA_030,UPSTREAM_OF,激光控制卡支撑标准激光加工设备
SUB_LA_019,SUB_LA_041,UPSTREAM_OF,运动控制系统支撑激光加工工作站
SUB_LA_024,SUB_LA_058,UPSTREAM_OF,直线电机平台支撑晶圆激光切割设备
SUB_LA_030,SUB_LA_063,UPSTREAM_OF,激光切割设备支撑钣金切割应用
SUB_LA_031,SUB_LA_065,UPSTREAM_OF,激光焊接设备支撑金属焊接应用
SUB_LA_037,SUB_LA_072,UPSTREAM_OF,锂电激光加工装备支撑极耳切割应用
SUB_LA_037,SUB_LA_073,UPSTREAM_OF,锂电激光加工装备支撑电芯焊接应用
SUB_LA_038,SUB_LA_075,UPSTREAM_OF,光伏激光加工装备支撑光伏划片应用
SUB_LA_039,SUB_LA_087,UPSTREAM_OF,医疗器械激光加工装备支撑支架切割应用
SUB_LA_051,SUB_LA_067,UPSTREAM_OF,SLM装备支撑金属增材制造应用
SUB_LA_056,SUB_LA_057,UPSTREAM_OF,光刻光源相关部件支撑半导体精密光学系统
SUB_LA_058,SUB_LA_082,UPSTREAM_OF,晶圆激光切割设备支撑晶圆切割应用
SUB_LA_059,SUB_LA_083,UPSTREAM_OF,晶圆激光打标设备支撑晶圆打标应用
SUB_LA_062,SUB_LA_084,UPSTREAM_OF,半导体封装激光工艺设备支撑封装开槽应用
SUB_MV_001,SUB_MV_036,UPSTREAM_OF,环形光源支撑成像检测系统
SUB_MV_008,SUB_MV_037,UPSTREAM_OF,远心镜头支撑尺寸测量系统
SUB_MV_013,SUB_MV_045,UPSTREAM_OF,线扫相机支撑在线检测设备
SUB_MV_014,SUB_MV_041,UPSTREAM_OF,面阵相机支撑AOI检测设备
SUB_MV_015,SUB_MV_014,UPSTREAM_OF,CMOS图像传感器支撑面阵相机
SUB_MV_019,SUB_MV_045,UPSTREAM_OF,图像采集卡支撑在线检测设备
SUB_MV_022,SUB_MV_040,UPSTREAM_OF,边缘计算盒子支撑智能相机系统
SUB_MV_027,SUB_MV_086,UPSTREAM_OF,机器人视觉引导配套支撑机器人抓取定位
SUB_MV_030,SUB_MV_044,UPSTREAM_OF,缺陷检测算法支撑缺陷检测设备
SUB_MV_031,SUB_MV_039,UPSTREAM_OF,OCR/读码识别支撑读码追溯系统
SUB_MV_032,SUB_MV_037,UPSTREAM_OF,精密测量算法支撑尺寸测量系统
SUB_MV_033,SUB_MV_038,UPSTREAM_OF,视觉定位算法支撑视觉定位系统
SUB_MV_034,SUB_MV_057,UPSTREAM_OF,深度学习视觉平台支撑模型迭代服务
SUB_MV_041,SUB_MV_066,UPSTREAM_OF,AOI检测设备支撑晶圆缺陷检测
SUB_MV_041,SUB_MV_070,UPSTREAM_OF,AOI检测设备支撑面板缺陷检测
SUB_MV_042,SUB_MV_062,UPSTREAM_OF,外观检测设备支撑3C外观检测
SUB_MV_043,SUB_MV_075,UPSTREAM_OF,尺寸测量设备支撑零部件尺寸检测
SUB_MV_045,SUB_MV_078,UPSTREAM_OF,在线检测设备支撑极片检测
SUB_MV_047,SUB_MV_051,UPSTREAM_OF,结构光3D视觉支撑三维重建与测量
SUB_MV_050,SUB_MV_074,UPSTREAM_OF,激光轮廓测量支撑焊缝检测
