enterprise_id,enterprise_name,source_system,source_pk,last_sync_at
ENT_PG_1,北京昆仑行机器人科技有限公司,postgresql,1,2026-06-28 10:25:30.108861+00
ENT_PG_2,上海曦智科技股份有限公司,postgresql,2,2026-06-28 10:25:30.108861+00
ENT_PG_3,北京星元纵横网络技术有限公司,postgresql,3,2026-06-28 10:25:30.108861+00
ENT_PG_4,九州云箭空间科技有限公司,postgresql,4,2026-06-28 10:25:30.108861+00
ENT_PG_5,山海氢（上海）新能源科技有限公司,postgresql,5,2026-06-28 10:25:30.108861+00
ENT_PG_6,深圳墨奇智能技术有限公司,postgresql,6,2026-06-28 10:25:30.108861+00
ENT_PG_7,苏维中合复合材料（江苏）有限公司,postgresql,7,2026-06-28 10:25:30.108861+00
ENT_PG_8,无锡众星微系统技术有限公司,postgresql,8,2026-06-28 10:25:30.108861+00
ENT_PG_9,北京深势科技股份有限公司,postgresql,9,2026-06-28 10:25:30.108861+00
ENT_PG_10,杭州达歌生物医药科技有限公司,postgresql,10,2026-06-28 10:25:30.108861+00
ENT_PG_11,华科冷芯（上海）动力科技有限公司,postgresql,11,2026-06-28 10:25:30.108861+00
ENT_PG_12,北京新烛时代科技有限公司,postgresql,12,2026-06-28 10:25:30.108861+00
ENT_PG_13,物元半导体技术（青岛）有限公司,postgresql,13,2026-06-28 10:25:30.108861+00
ENT_PG_14,北集光（深圳）科技有限公司,postgresql,14,2026-06-28 10:25:30.108861+00
ENT_PG_15,北京造物时代科技有限公司,postgresql,15,2026-06-28 10:25:30.108861+00
ENT_PG_16,北京灵熹光子科技有限公司,postgresql,16,2026-06-28 10:25:30.108861+00
ENT_PG_17,北京智冉医疗科技有限公司,postgresql,17,2026-06-28 10:25:30.108861+00
ENT_PG_18,安徽省曦合智控科技有限公司,postgresql,18,2026-06-28 10:25:30.108861+00
ENT_PG_19,中科嘉速（北京）信息技术有限公司,postgresql,19,2026-06-28 10:25:30.108861+00
ENT_PG_20,杭州至简动力科技有限公司,postgresql,20,2026-06-28 10:25:30.108861+00
ENT_PG_21,北京水木元鲲科技有限责任公司,postgresql,21,2026-06-28 10:25:30.108861+00
ENT_PG_22,紫晶格（广州）新材料有限公司,postgresql,22,2026-06-28 10:25:30.108861+00
ENT_PG_23,北京馨智生物医药有限责任公司,postgresql,23,2026-06-28 10:25:30.108861+00
ENT_PG_24,中科千乘（北京）科技有限公司,postgresql,24,2026-06-28 10:25:30.108861+00
ENT_PG_25,上海中器无量量子科技有限公司,postgresql,25,2026-06-28 10:25:30.108861+00
ENT_PG_26,原集微科技（上海）有限公司,postgresql,26,2026-06-28 10:25:30.108861+00
ENT_PG_27,亿能智光（深圳）科技有限公司,postgresql,27,2026-06-28 10:25:30.108861+00
ENT_PG_28,北京北微星生物科技有限公司,postgresql,28,2026-06-28 10:25:30.108861+00
ENT_PG_29,天翎科航空科技（上海）有限公司,postgresql,29,2026-06-28 10:25:30.108861+00
ENT_PG_30,桂林星云电子科技有限公司,postgresql,30,2026-06-28 10:25:30.108861+00
ENT_PG_31,先进核能装备系统（北京）有限公司,postgresql,31,2026-06-28 10:25:30.108861+00
ENT_PG_32,超磁新能（上海）科技有限公司,postgresql,32,2026-06-28 10:25:30.108861+00
ENT_PG_33,鸾起科技（苏州）有限公司,postgresql,33,2026-06-28 10:25:30.108861+00
ENT_PG_34,上海复安绿能科技有限公司,postgresql,34,2026-06-28 10:25:30.108861+00
ENT_PG_35,上海不筹量子科技有限公司,postgresql,35,2026-06-28 10:25:30.108861+00
ENT_PG_36,境相（上海）科技有限公司,postgresql,36,2026-06-28 10:25:30.108861+00
ENT_PG_37,上海加速纪元科技有限公司,postgresql,37,2026-06-28 10:25:30.108861+00
ENT_PG_38,北京智天新航科技有限公司,postgresql,38,2026-06-28 10:25:30.108861+00
ENT_PG_39,长春市麦迪克智行汽车科技有限公司,postgresql,39,2026-06-28 10:25:30.108861+00
ENT_PG_40,东昇聚变（上海）技术有限公司,postgresql,40,2026-06-28 10:25:30.108861+00
ENT_PG_41,上海钧合原子科技有限公司,postgresql,41,2026-06-28 10:25:30.108861+00
ENT_PG_42,兆默真空设备（苏州）有限公司,postgresql,42,2026-06-28 10:25:30.108861+00
ENT_PG_43,深圳市薇光点亮科技有限公司,postgresql,43,2026-06-28 10:25:30.108861+00
ENT_PG_44,上海芯钺升技术有限公司,postgresql,44,2026-06-28 10:25:30.108861+00
ENT_PG_45,上海钛忆科技有限公司,postgresql,45,2026-06-28 10:25:30.108861+00
ENT_PG_46,广州光达创新科技有限公司,postgresql,46,2026-06-28 10:25:30.108861+00
ENT_PG_47,上海弼领生物技术有限公司,postgresql,47,2026-06-28 10:25:30.108861+00
ENT_PG_48,北京星源智机器人科技有限公司,postgresql,48,2026-06-28 10:25:30.108861+00
ENT_PG_49,上海超维无际电子科技有限责任公司,postgresql,49,2026-06-28 10:25:30.108861+00
ENT_PG_50,上海烨知心科技有限公司,postgresql,50,2026-06-28 10:25:30.108861+00
ENT_PG_51,北京基点起源信息技术有限公司,postgresql,51,2026-06-28 10:25:30.108861+00
ENT_PG_52,中农种源（深圳）科技有限公司,postgresql,52,2026-06-28 10:25:30.108861+00
ENT_PG_53,南通锋寻生物科技有限公司,postgresql,53,2026-06-28 10:25:30.108861+00
ENT_PG_54,上海泓格后量子科技有限公司,postgresql,54,2026-06-28 10:25:30.108861+00
ENT_PG_55,苏州材科源图科技有限公司,postgresql,55,2026-06-28 10:25:30.108861+00
