from_id,from_label,relation_type,to_id,to_label,raw_value,source_file,row_no
ENT_6B8742C937DE,Enterprise,PROVIDES_PRODUCT,PROD_CE3ECAD16438,Product,精密传感器制造,company-info_with_url.xlsx,2
ENT_6B8742C937DE,Enterprise,PROVIDES_PRODUCT,PROD_E0A702D6A9C0,Product,半导体封装,company-info_with_url.xlsx,2
ENT_6B8742C937DE,Enterprise,PROVIDES_PRODUCT,PROD_03B425528D80,Product,生物芯片加工领域激光设备,company-info_with_url.xlsx,2
ENT_6B8742C937DE,Enterprise,HAS_CAPABILITY,CAP_42EFAAE43C01,Capability,超快激光精密焊接技术（异质材料焊接,company-info_with_url.xlsx,2
ENT_6B8742C937DE,Enterprise,HAS_CAPABILITY,CAP_6D7813CF73A8,Capability,特种材料超精密3D成形,company-info_with_url.xlsx,2
ENT_6B8742C937DE,Enterprise,SERVES_INDUSTRY,IND_D2965EF04FFB,Industry,航空航天,company-info_with_url.xlsx,2
ENT_6B8742C937DE,Enterprise,SERVES_INDUSTRY,IND_A6099754177C,Industry,生物医疗,company-info_with_url.xlsx,2
ENT_6B8742C937DE,Enterprise,SERVES_INDUSTRY,IND_D2F457C3B2D8,Industry,半导体,company-info_with_url.xlsx,2
ENT_6B8742C937DE,Enterprise,SERVES_INDUSTRY,IND_EC13D4A81311,Industry,精密电子,company-info_with_url.xlsx,2
ENT_6B8742C937DE,Enterprise,APPLIES_TO_SCENARIO,SCN_F13160C5186C,Scenario,玻璃,company-info_with_url.xlsx,2
ENT_6B8742C937DE,Enterprise,APPLIES_TO_SCENARIO,SCN_FDAEA484C3D6,Scenario,蓝宝石,company-info_with_url.xlsx,2
ENT_6B8742C937DE,Enterprise,APPLIES_TO_SCENARIO,SCN_DD1BFFC266D7,Scenario,石英等透明材料间以及上述透明材料和金,company-info_with_url.xlsx,2
ENT_6B8742C937DE,Enterprise,APPLIES_TO_SCENARIO,SCN_85E0BCCA5AED,Scenario,铜,company-info_with_url.xlsx,2
ENT_6B8742C937DE,Enterprise,APPLIES_TO_SCENARIO,SCN_A0C1CF775450,Scenario,不锈钢,company-info_with_url.xlsx,2
ENT_6B8742C937DE,Enterprise,APPLIES_TO_SCENARIO,SCN_DDDAB6882CF8,Scenario,高温合金之间的直接焊接,company-info_with_url.xlsx,2
ENT_6B8742C937DE,Enterprise,HAS_CUSTOMER,CUS_60E0FA8C0A85,Customer,中国电子科技集团第38研究所,company-info_with_url.xlsx,2
