sub_track_name,stage_order,stage_name,stage_level,stage_category,upstream_stage,downstream_stage,tech_directions,key_capabilities,application_scenarios,notes
光学检测/机器视觉,1,工业光源与照明控制,上游,核心部件,,镜头与光学成像部件,工业照明,成像方案设计能力,,成像基础环节
光学检测/机器视觉,2,镜头与光学成像部件,上游,核心部件,工业光源与照明控制,工业相机与图像传感器,光学成像,成像方案设计能力,,成像光路环节
光学检测/机器视觉,3,工业相机与图像传感器,上游,核心部件,镜头与光学成像部件,图像采集/工业计算/控制部件,图像采集,复杂工况适配能力,,核心采集硬件
光学检测/机器视觉,4,图像采集/工业计算/控制部件,上游,基础硬件,工业相机与图像传感器,运动控制与执行配套,图像采集|运动协同控制,节拍优化能力,,采集与控制支撑
光学检测/机器视觉,5,运动控制与执行配套,上游,执行支撑,图像采集/工业计算/控制部件,视觉算法平台,运动协同控制,整线集成能力,,控制与执行协同
光学检测/机器视觉,6,视觉算法平台,中游,软件/算法,运动控制与执行配套,标准视觉系统方案,缺陷检测算法|OCR/识别|精密测量,高精度检测算法能力|复杂工况适配能力,,核心算法层
光学检测/机器视觉,7,标准视觉系统方案,中游,系统方案,视觉算法平台,专用检测设备,光学成像|图像采集|缺陷检测算法,行业方案交付能力,,标准化方案层
光学检测/机器视觉,8,专用检测设备,中游,设备,标准视觉系统方案,整线集成与行业解决方案,精密测量|运动协同控制,行业方案交付能力|整线集成能力,,设备产品层
光学检测/机器视觉,9,整线集成与行业解决方案,中游,集成/交付,专用检测设备,运维调优与持续优化,运动协同控制,整线集成能力|行业方案交付能力,,面向产线交付
光学检测/机器视觉,10,运维调优与持续优化,中游,服务,整线集成与行业解决方案,消费电子检测,缺陷检测算法,节拍优化能力|复杂工况适配能力,,交付后优化层
光学检测/机器视觉,11,消费电子检测,下游,应用场景,运维调优与持续优化,半导体检测,,高精度检测算法能力,消费电子检测,下游应用
光学检测/机器视觉,12,半导体检测,下游,应用场景,消费电子检测,面板检测,,高精度检测算法能力,半导体检测,下游应用
光学检测/机器视觉,13,面板检测,下游,应用场景,半导体检测,汽车制造检测,,成像方案设计能力,面板检测,下游应用
光学检测/机器视觉,14,汽车制造检测,下游,应用场景,面板检测,锂电/光伏检测,,行业方案交付能力,汽车制造检测,下游应用
光学检测/机器视觉,15,锂电/光伏检测,下游,应用场景,汽车制造检测,医药/食品/物流视觉应用,,节拍优化能力,锂电/光伏检测,下游应用
光学检测/机器视觉,16,医药/食品/物流视觉应用,下游,应用场景,锂电/光伏检测,,,行业方案交付能力,医药/食品/物流视觉应用,下游应用
光通信/光模块,1,光电芯片,上游,核心器件,,有源器件,光电转换,高速模块设计能力,,核心芯片层
光通信/光模块,2,有源器件,上游,核心器件,光电芯片,无源器件,光电转换|高速调制,光器件集成能力,,激光器/探测器等
光通信/光模块,3,无源器件,上游,核心器件,有源器件,结构件/材料,封装耦合,光器件集成能力,,无源光器件层
光通信/光模块,4,结构件/材料,上游,配套材料,无源器件,测试设备,热管理,封装良率控制能力,,封装结构基础
光通信/光模块,5,测试设备,上游,制造支撑,结构件/材料,模块方案设计,高速测试,高速测试能力,,制造测试支撑
光通信/光模块,6,模块方案设计,中游,设计,测试设备,光引擎/器件集成,高速调制|功耗优化,高速模块设计能力,,产品定义层
光通信/光模块,7,光引擎/器件集成,中游,集成,模块方案设计,模块封装组装,光电转换|封装耦合,光器件集成能力,,器件集成层
光通信/光模块,8,模块封装组装,中游,制造,光引擎/器件集成,模块测试校准,封装耦合|热管理,封装良率控制能力,,封装制造层
光通信/光模块,9,模块测试校准,中游,测试,模块封装组装,批量制造交付,高速测试|功耗优化,高速测试能力,,测试校准层
光通信/光模块,10,批量制造交付,中游,量产/交付,模块测试校准,数据中心互联,热管理|功耗优化,规模制造与交付能力|客户认证导入能力,,量产交付层
光通信/光模块,11,数据中心互联,下游,应用场景,批量制造交付,AI集群互联,,客户认证导入能力,数据中心互联,下游应用
光通信/光模块,12,AI集群互联,下游,应用场景,数据中心互联,电信承载网,,功耗优化,AI集群互联,下游应用
光通信/光模块,13,电信承载网,下游,应用场景,AI集群互联,接入与园区网络,,规模制造与交付能力,电信承载网,下游应用
光通信/光模块,14,接入与园区网络,下游,应用场景,电信承载网,,,客户认证导入能力,接入与园区网络,下游应用
激光加工/光学装备,1,激光器与激光源,上游,核心器件,,光学器件与光路部件,激光源控制,激光工艺适配能力,,核心激光源层
激光加工/光学装备,2,光学器件与光路部件,上游,核心器件,激光器与激光源,振镜/加工头/执行单元,光路设计,高精度加工控制能力,,光路基础层
激光加工/光学装备,3,振镜/加工头/执行单元,上游,核心部件,光学器件与光路部件,数控/控制系统/工业软件,振镜控制,高精度加工控制能力,,执行核心层
激光加工/光学装备,4,数控/控制系统/工业软件,上游,控制系统,振镜/加工头/执行单元,伺服/机械结构/平台基础,精密运动控制|自动化协同,装备整机集成能力,,控制系统层
激光加工/光学装备,5,伺服/机械结构/平台基础,上游,平台基础,数控/控制系统/工业软件,标准激光加工设备,精密运动控制,装备整机集成能力,,整机平台基础
激光加工/光学装备,6,标准激光加工设备,中游,标准设备,伺服/机械结构/平台基础,高端/专用光学装备,激光源控制|精密运动控制,装备整机集成能力,,标准设备层
激光加工/光学装备,7,高端/专用光学装备,中游,专用设备,标准激光加工设备,自动化集成与单元化设备,加工工艺参数优化,高精度加工控制能力|工艺包沉淀能力,,高壁垒装备层
激光加工/光学装备,8,自动化集成与单元化设备,中游,自动化集成,高端/专用光学装备,整线方案与工艺交付,自动化协同,自动化产线交付能力,,自动化工作站层
激光加工/光学装备,9,整线方案与工艺交付,中游,交付/方案,自动化集成与单元化设备,维护升级与持续工艺优化,加工工艺参数优化|自动化协同,自动化产线交付能力|工艺包沉淀能力,,行业交付层
激光加工/光学装备,10,维护升级与持续工艺优化,中游,服务,整线方案与工艺交付,金属加工,加工工艺参数优化,现场调优与持续优化能力,,交付后持续优化
激光加工/光学装备,11,金属加工,下游,应用场景,维护升级与持续工艺优化,消费电子制造,,激光工艺适配能力,金属加工,下游应用
激光加工/光学装备,12,消费电子制造,下游,应用场景,金属加工,汽车与零部件制造,,高精度加工控制能力,消费电子制造,下游应用
激光加工/光学装备,13,汽车与零部件制造,下游,应用场景,消费电子制造,锂电/光伏/新能源制造,,自动化产线交付能力,汽车与零部件制造,下游应用
激光加工/光学装备,14,锂电/光伏/新能源制造,下游,应用场景,汽车与零部件制造,半导体与精密制造,,工艺包沉淀能力,锂电/光伏/新能源制造,下游应用
激光加工/光学装备,15,半导体与精密制造,下游,应用场景,锂电/光伏/新能源制造,医疗器械与其他高端制造,,高精度加工控制能力,半导体与精密制造,下游应用
激光加工/光学装备,16,医疗器械与其他高端制造,下游,应用场景,半导体与精密制造,,,现场调优与持续优化能力,医疗器械与其他高端制造,下游应用
