enterprise_id,enterprise_name,stage_name,relation_type,confidence,sub_track_name,is_primary
E001,西安中科光凝科技有限公司（人工核对）,高端/专用光学装备,LOCATED_IN_STAGE,0.90,激光加工/光学装备,true
E003,西湖智能视觉科技（杭州）有限公司,标准视觉系统方案,LOCATED_IN_STAGE,0.84,光学检测/机器视觉,true
E005,中智科仪（北京）科技有限公司,专用检测设备,LOCATED_IN_STAGE,0.79,光学检测/机器视觉,true
E006,徐州光引科技发展有限公司,光电芯片,LOCATED_IN_STAGE,0.88,光通信/光模块,true
E013,中科慧远视觉技术（洛阳）有限公司,专用检测设备,LOCATED_IN_STAGE,0.97,光学检测/机器视觉,true
E020,西安中科天塔科技股份有限公司,AI集群互联,LOCATED_IN_STAGE,0.80,光通信/光模块,true
E021,光宇元芯（杭州）光电有限责任公司,光电芯片,LOCATED_IN_STAGE,0.78,光通信/光模块,true
E024,西安中科立德红外科技有限公司,专用检测设备,LOCATED_IN_STAGE,0.81,光学检测/机器视觉,true
E036,西安朗威科技有限公司,AI集群互联,LOCATED_IN_STAGE,0.72,光通信/光模块,true
E037,镭神技术（深圳）有限公司,模块测试校准,LOCATED_IN_STAGE,0.95,光通信/光模块,true
