capability_id,sub_track_id,sub_track_name,primary_stage_id,primary_stage_name,capability_name,description
KCAP_MV_001,SUB_001,光学检测/机器视觉,STG_MV_002,镜头与光学成像部件,成像方案设计能力,围绕成像链路、光学结构与系统级成像方案的设计能力
KCAP_MV_002,SUB_001,光学检测/机器视觉,STG_MV_006,视觉算法平台,高精度检测算法能力,围绕缺陷检测、识别与高精度分析的算法能力
KCAP_MV_003,SUB_001,光学检测/机器视觉,STG_MV_004,图像采集与接口部件,复杂工况适配能力,围绕复杂现场、不同材质与环境下的适配能力
KCAP_MV_004,SUB_001,光学检测/机器视觉,STG_MV_005,运动控制与执行配套,节拍优化能力,围绕产线节拍与检测效率优化的能力
KCAP_MV_005,SUB_001,光学检测/机器视觉,STG_MV_008,专用检测设备,行业方案交付能力,围绕行业场景检测方案交付的能力
KCAP_MV_006,SUB_001,光学检测/机器视觉,STG_MV_009,整线集成与行业解决方案,整线集成能力,围绕设备、控制、产线联动的一体化集成能力
KCAP_OC_001,SUB_002,光通信/光模块,STG_OC_006,模块方案设计,高速模块设计能力,围绕高速光模块产品定义与设计的能力
KCAP_OC_002,SUB_002,光通信/光模块,STG_OC_007,光引擎/器件集成,光器件集成能力,围绕光器件、光引擎与模块集成的能力
KCAP_OC_003,SUB_002,光通信/光模块,STG_OC_008,模块封装组装,封装良率控制能力,围绕模块封装工艺与良率稳定控制的能力
KCAP_OC_004,SUB_002,光通信/光模块,STG_OC_009,模块测试校准,高速测试能力,围绕高速光模块测试、校准与验证的能力
KCAP_OC_005,SUB_002,光通信/光模块,STG_OC_010,量产管理与供应链交付,规模制造与交付能力,围绕批量制造、质量稳定与交付的能力
KCAP_OC_006,SUB_002,光通信/光模块,STG_OC_010,量产管理与供应链交付,客户认证导入能力,围绕客户验证、认证和导入终端应用的能力
KCAP_LA_001,SUB_003,激光加工/光学装备,STG_LA_002,光学器件与光路部件,激光工艺适配能力,围绕不同材料和工艺参数适配的能力
KCAP_LA_002,SUB_003,激光加工/光学装备,STG_LA_003,振镜/加工头/执行单元,高精度加工控制能力,围绕激光加工精度、控制和执行单元的能力
KCAP_LA_003,SUB_003,激光加工/光学装备,STG_LA_006,标准激光加工设备（通用型/规格标准化/批量销售）,装备整机集成能力,围绕整机装备系统集成的能力
KCAP_LA_004,SUB_003,激光加工/光学装备,STG_LA_009,整线方案与工艺交付（多工序联动/含工艺包/完整产线）,自动化产线交付能力,围绕自动化单元和产线交付的能力
KCAP_LA_005,SUB_003,激光加工/光学装备,STG_LA_009,整线方案与工艺交付（多工序联动/含工艺包/完整产线）,工艺包沉淀能力,围绕工艺参数、工艺知识与行业方法积累的能力
KCAP_LA_006,SUB_003,激光加工/光学装备,STG_LA_010,维护升级与持续工艺优化,现场调优与持续优化能力,围绕交付后的现场调优与持续优化的能力
KCAP_DISP_001,SUB_004,光显示,STG_004_002,显示芯片,显示芯片设计能力,围绕显示芯片架构、像素设计与电路实现的能力
KCAP_DISP_002,SUB_004,光显示,STG_004_005,封装/键合/转移工艺,封装键合良率控制能力,围绕封装、键合、转移与良率稳定控制的能力
KCAP_DISP_003,SUB_004,光显示,STG_004_006,模组集成与校准,光学模组集成能力,围绕模组集成、校准与系统级整合的能力
KCAP_DISP_004,SUB_004,光显示,STG_004_007,显示整机与系统方案,显示系统方案交付能力,围绕显示整机、方案落地与客户交付的能力
KCAP_DISP_005,SUB_004,光显示,STG_004_007,显示整机与系统方案,微显示应用适配能力,围绕AR/VR、车载等微显示应用适配的能力
KCAP_COMP_001,SUB_005,光计算,STG_005_003,光计算/光交换芯片,光计算芯片架构设计能力,围绕光计算、光交换与片上架构设计的能力
KCAP_COMP_002,SUB_005,光计算,STG_005_004,高速互连与封装模块,高速光互连集成能力,围绕高速互连、封装耦合与链路集成的能力
KCAP_COMP_003,SUB_005,光计算,STG_005_005,板级/系统级集成,光电混合系统协同能力,围绕光电混合计算系统协同设计与调优的能力
KCAP_COMP_004,SUB_005,光计算,STG_005_006,光电混合计算平台,系统级算力平台交付能力,围绕板级、机柜级与平台级交付的能力
KCAP_COMP_005,SUB_005,光计算,STG_005_006,光电混合计算平台,场景化算力适配能力,围绕AI集群、科学计算等场景适配的能力
KCAP_FUS_001,SUB_006,光融合（量子光学新原理）,STG_006_001,量子光学原理与核心材料,量子光学原理实现能力,围绕量子光学新原理验证与实现的能力
KCAP_FUS_002,SUB_006,光融合（量子光学新原理）,STG_006_002,量子/超灵敏光学器件,超灵敏光学探测能力,围绕弱光、单光子、超灵敏探测实现的能力
KCAP_FUS_003,SUB_006,光融合（量子光学新原理）,STG_006_003,新原理成像/探测模组,新原理成像系统集成能力,围绕新原理成像/探测模组与系统集成的能力
KCAP_FUS_004,SUB_006,光融合（量子光学新原理）,STG_006_004,融合感知与控制平台,科研平台产品化能力,围绕科研平台、高端仪器工程化与产品化的能力
KCAP_FUS_005,SUB_006,光融合（量子光学新原理）,STG_006_004,融合感知与控制平台,前沿场景验证能力,围绕特种感知与前沿产业应用验证的能力
