start_id,start_label,end_id,end_label,relation_type,confidence,source
STG_MV_001,ChainStage,STG_MV_002,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_MV_002,ChainStage,STG_MV_003,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_MV_003,ChainStage,STG_MV_004,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_MV_004,ChainStage,STG_MV_004B,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_MV_004B,ChainStage,STG_MV_005,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_MV_005,ChainStage,STG_MV_006,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_MV_006,ChainStage,STG_MV_007,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_MV_007,ChainStage,STG_MV_008,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_MV_008,ChainStage,STG_MV_009,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_MV_009,ChainStage,STG_MV_010,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_OC_001,ChainStage,STG_OC_002,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_OC_002,ChainStage,STG_OC_003,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_OC_003,ChainStage,STG_OC_004,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_OC_004,ChainStage,STG_OC_005,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_OC_005,ChainStage,STG_OC_006,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_OC_006,ChainStage,STG_OC_007,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_OC_007,ChainStage,STG_OC_008,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_OC_008,ChainStage,STG_OC_009,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_OC_009,ChainStage,STG_OC_010,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_LA_001,ChainStage,STG_LA_002,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_LA_002,ChainStage,STG_LA_003,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_LA_003,ChainStage,STG_LA_004,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_LA_004,ChainStage,STG_LA_005,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_LA_005,ChainStage,STG_LA_006,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_LA_006,ChainStage,STG_LA_007,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_LA_007,ChainStage,STG_LA_008,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_LA_008,ChainStage,STG_LA_009,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_LA_009,ChainStage,STG_LA_010,ChainStage,UPSTREAM_OF,1.00,unified_structure_v2
STG_004_001,ChainStage,STG_004_002,ChainStage,UPSTREAM_OF,1.00,expansion_patch_2026-05-12
STG_004_002,ChainStage,STG_004_003,ChainStage,UPSTREAM_OF,1.00,expansion_patch_2026-05-12
STG_004_003,ChainStage,STG_004_004,ChainStage,UPSTREAM_OF,1.00,expansion_patch_2026-05-12
STG_004_004,ChainStage,STG_004_005,ChainStage,UPSTREAM_OF,1.00,expansion_patch_2026-05-12
STG_004_005,ChainStage,STG_004_006,ChainStage,UPSTREAM_OF,1.00,expansion_patch_2026-05-12
STG_004_006,ChainStage,STG_004_007,ChainStage,UPSTREAM_OF,1.00,expansion_patch_2026-05-12
STG_005_001,ChainStage,STG_005_002,ChainStage,UPSTREAM_OF,1.00,expansion_patch_2026-05-12
STG_005_002,ChainStage,STG_005_003,ChainStage,UPSTREAM_OF,1.00,expansion_patch_2026-05-12
STG_005_003,ChainStage,STG_005_004,ChainStage,UPSTREAM_OF,1.00,expansion_patch_2026-05-12
STG_005_004,ChainStage,STG_005_005,ChainStage,UPSTREAM_OF,1.00,expansion_patch_2026-05-12
STG_005_005,ChainStage,STG_005_006,ChainStage,UPSTREAM_OF,1.00,expansion_patch_2026-05-12
STG_006_001,ChainStage,STG_006_002,ChainStage,UPSTREAM_OF,1.00,expansion_patch_2026-05-12
STG_006_002,ChainStage,STG_006_003,ChainStage,UPSTREAM_OF,1.00,expansion_patch_2026-05-12
STG_006_003,ChainStage,STG_006_004,ChainStage,UPSTREAM_OF,1.00,expansion_patch_2026-05-12
