start_id,start_label,end_id,end_label,relation_type,confidence,source
STG_MV_001,ChainStage,KCAP_MV_001,KeyCapability,REQUIRES_CAPABILITY,0.95,unified_structure_v2
STG_MV_002,ChainStage,KCAP_MV_001,KeyCapability,REQUIRES_CAPABILITY,0.95,unified_structure_v2
STG_MV_003,ChainStage,KCAP_MV_001,KeyCapability,REQUIRES_CAPABILITY,0.95,unified_structure_v2
STG_MV_004,ChainStage,KCAP_MV_003,KeyCapability,REQUIRES_CAPABILITY,0.95,unified_structure_v2
STG_MV_004B,ChainStage,KCAP_MV_003,KeyCapability,REQUIRES_CAPABILITY,0.90,unified_structure_v2
STG_MV_005,ChainStage,KCAP_MV_004,KeyCapability,REQUIRES_CAPABILITY,0.90,unified_structure_v2
STG_MV_006,ChainStage,KCAP_MV_002,KeyCapability,REQUIRES_CAPABILITY,0.95,unified_structure_v2
STG_MV_007,ChainStage,KCAP_MV_005,KeyCapability,REQUIRES_CAPABILITY,0.95,unified_structure_v2
STG_MV_008,ChainStage,KCAP_MV_005,KeyCapability,REQUIRES_CAPABILITY,0.95,unified_structure_v2
STG_MV_009,ChainStage,KCAP_MV_006,KeyCapability,REQUIRES_CAPABILITY,0.95,unified_structure_v2
STG_MV_010,ChainStage,KCAP_MV_006,KeyCapability,REQUIRES_CAPABILITY,0.95,unified_structure_v2
STG_OC_001,ChainStage,KCAP_OC_001,KeyCapability,REQUIRES_CAPABILITY,0.95,unified_structure_v2
STG_OC_002,ChainStage,KCAP_OC_002,KeyCapability,REQUIRES_CAPABILITY,0.95,unified_structure_v2
STG_OC_003,ChainStage,KCAP_OC_002,KeyCapability,REQUIRES_CAPABILITY,0.95,unified_structure_v2
STG_OC_004,ChainStage,KCAP_OC_002,KeyCapability,REQUIRES_CAPABILITY,0.90,unified_structure_v2
STG_OC_005,ChainStage,KCAP_OC_004,KeyCapability,REQUIRES_CAPABILITY,0.95,unified_structure_v2
STG_OC_006,ChainStage,KCAP_OC_001,KeyCapability,REQUIRES_CAPABILITY,0.95,unified_structure_v2
STG_OC_007,ChainStage,KCAP_OC_002,KeyCapability,REQUIRES_CAPABILITY,0.95,unified_structure_v2
STG_OC_008,ChainStage,KCAP_OC_003,KeyCapability,REQUIRES_CAPABILITY,0.95,unified_structure_v2
STG_OC_009,ChainStage,KCAP_OC_004,KeyCapability,REQUIRES_CAPABILITY,0.95,unified_structure_v2
STG_OC_010,ChainStage,KCAP_OC_005,KeyCapability,REQUIRES_CAPABILITY,0.95,unified_structure_v2
STG_OC_010,ChainStage,KCAP_OC_006,KeyCapability,REQUIRES_CAPABILITY,0.90,unified_structure_v2
STG_LA_001,ChainStage,KCAP_LA_001,KeyCapability,REQUIRES_CAPABILITY,0.95,unified_structure_v2
STG_LA_002,ChainStage,KCAP_LA_001,KeyCapability,REQUIRES_CAPABILITY,0.95,unified_structure_v2
STG_LA_003,ChainStage,KCAP_LA_002,KeyCapability,REQUIRES_CAPABILITY,0.95,unified_structure_v2
STG_LA_004,ChainStage,KCAP_LA_002,KeyCapability,REQUIRES_CAPABILITY,0.95,unified_structure_v2
STG_LA_005,ChainStage,KCAP_LA_003,KeyCapability,REQUIRES_CAPABILITY,0.90,unified_structure_v2
STG_LA_006,ChainStage,KCAP_LA_003,KeyCapability,REQUIRES_CAPABILITY,0.95,unified_structure_v2
STG_LA_007,ChainStage,KCAP_LA_003,KeyCapability,REQUIRES_CAPABILITY,0.95,unified_structure_v2
