stage_id,sub_track_id,sub_track_name,stage_order,stage_name,stage_level,stage_category,upstream_stage_id,downstream_stage_id
STG_MV_001,SUB_001,光学检测/机器视觉,1,工业光源与照明控制,上游,核心部件,,STG_MV_002
STG_MV_002,SUB_001,光学检测/机器视觉,2,镜头与光学成像部件,上游,核心部件,STG_MV_001,STG_MV_003
STG_MV_003,SUB_001,光学检测/机器视觉,3,工业相机与图像传感器,上游,核心部件,STG_MV_002,STG_MV_004
STG_MV_004,SUB_001,光学检测/机器视觉,4,图像采集/工业计算/控制部件,上游,基础硬件,STG_MV_003,STG_MV_005
STG_MV_005,SUB_001,光学检测/机器视觉,5,运动控制与执行配套,上游,执行支撑,STG_MV_004,STG_MV_006
STG_MV_006,SUB_001,光学检测/机器视觉,6,视觉算法平台,中游,软件/算法,STG_MV_005,STG_MV_007
STG_MV_007,SUB_001,光学检测/机器视觉,7,标准视觉系统方案,中游,系统方案,STG_MV_006,STG_MV_008
STG_MV_008,SUB_001,光学检测/机器视觉,8,专用检测设备,中游,设备,STG_MV_007,STG_MV_009
STG_MV_009,SUB_001,光学检测/机器视觉,9,整线集成与行业解决方案,中游,集成/交付,STG_MV_008,STG_MV_010
STG_MV_010,SUB_001,光学检测/机器视觉,10,运维调优与持续优化,中游,服务,STG_MV_009,STG_MV_011
STG_MV_011,SUB_001,光学检测/机器视觉,11,消费电子检测,下游,应用场景,STG_MV_010,STG_MV_012
STG_MV_012,SUB_001,光学检测/机器视觉,12,半导体检测,下游,应用场景,STG_MV_011,STG_MV_013
STG_MV_013,SUB_001,光学检测/机器视觉,13,面板检测,下游,应用场景,STG_MV_012,STG_MV_014
STG_MV_014,SUB_001,光学检测/机器视觉,14,汽车制造检测,下游,应用场景,STG_MV_013,STG_MV_015
STG_MV_015,SUB_001,光学检测/机器视觉,15,锂电/光伏检测,下游,应用场景,STG_MV_014,STG_MV_016
STG_MV_016,SUB_001,光学检测/机器视觉,16,医药/食品/物流视觉应用,下游,应用场景,STG_MV_015,
STG_OC_001,SUB_002,光通信/光模块,1,光电芯片,上游,核心器件,,STG_OC_002
STG_OC_002,SUB_002,光通信/光模块,2,有源器件,上游,核心器件,STG_OC_001,STG_OC_003
STG_OC_003,SUB_002,光通信/光模块,3,无源器件,上游,核心器件,STG_OC_002,STG_OC_004
STG_OC_004,SUB_002,光通信/光模块,4,结构件/材料,上游,配套材料,STG_OC_003,STG_OC_005
STG_OC_005,SUB_002,光通信/光模块,5,测试设备,上游,制造支撑,STG_OC_004,STG_OC_006
STG_OC_006,SUB_002,光通信/光模块,6,模块方案设计,中游,设计,STG_OC_005,STG_OC_007
STG_OC_007,SUB_002,光通信/光模块,7,光引擎/器件集成,中游,集成,STG_OC_006,STG_OC_008
STG_OC_008,SUB_002,光通信/光模块,8,模块封装组装,中游,制造,STG_OC_007,STG_OC_009
STG_OC_009,SUB_002,光通信/光模块,9,模块测试校准,中游,测试,STG_OC_008,STG_OC_010
STG_OC_010,SUB_002,光通信/光模块,10,批量制造交付,中游,量产/交付,STG_OC_009,STG_OC_011
STG_OC_011,SUB_002,光通信/光模块,11,数据中心互联,下游,应用场景,STG_OC_010,STG_OC_012
STG_OC_012,SUB_002,光通信/光模块,12,AI集群互联,下游,应用场景,STG_OC_011,STG_OC_013
STG_OC_013,SUB_002,光通信/光模块,13,电信承载网,下游,应用场景,STG_OC_012,STG_OC_014
STG_OC_014,SUB_002,光通信/光模块,14,接入与园区网络,下游,应用场景,STG_OC_013,
STG_LA_001,SUB_003,激光加工/光学装备,1,激光器与激光源,上游,核心器件,,STG_LA_002
STG_LA_002,SUB_003,激光加工/光学装备,2,光学器件与光路部件,上游,核心器件,STG_LA_001,STG_LA_003
STG_LA_003,SUB_003,激光加工/光学装备,3,振镜/加工头/执行单元,上游,核心部件,STG_LA_002,STG_LA_004
STG_LA_004,SUB_003,激光加工/光学装备,4,数控/控制系统/工业软件,上游,控制系统,STG_LA_003,STG_LA_005
STG_LA_005,SUB_003,激光加工/光学装备,5,伺服/机械结构/平台基础,上游,平台基础,STG_LA_004,STG_LA_006
STG_LA_006,SUB_003,激光加工/光学装备,6,标准激光加工设备,中游,标准设备,STG_LA_005,STG_LA_007
STG_LA_007,SUB_003,激光加工/光学装备,7,高端/专用光学装备,中游,专用设备,STG_LA_006,STG_LA_008
STG_LA_008,SUB_003,激光加工/光学装备,8,自动化集成与单元化设备,中游,自动化集成,STG_LA_007,STG_LA_009
STG_LA_009,SUB_003,激光加工/光学装备,9,整线方案与工艺交付,中游,交付/方案,STG_LA_008,STG_LA_010
STG_LA_010,SUB_003,激光加工/光学装备,10,维护升级与持续工艺优化,中游,服务,STG_LA_009,STG_LA_011
STG_LA_011,SUB_003,激光加工/光学装备,11,金属加工,下游,应用场景,STG_LA_010,STG_LA_012
STG_LA_012,SUB_003,激光加工/光学装备,12,消费电子制造,下游,应用场景,STG_LA_011,STG_LA_013
STG_LA_013,SUB_003,激光加工/光学装备,13,汽车与零部件制造,下游,应用场景,STG_LA_012,STG_LA_014
STG_LA_014,SUB_003,激光加工/光学装备,14,锂电/光伏/新能源制造,下游,应用场景,STG_LA_013,STG_LA_015
STG_LA_015,SUB_003,激光加工/光学装备,15,半导体与精密制造,下游,应用场景,STG_LA_014,STG_LA_016
STG_LA_016,SUB_003,激光加工/光学装备,16,医疗器械与其他高端制造,下游,应用场景,STG_LA_015,
