capability_id,sub_track_id,sub_track_name,capability_name,description
KCAP_DISP_001,SUB_004,光显示,显示芯片设计能力,围绕显示芯片架构、像素设计与电路实现的能力
KCAP_DISP_002,SUB_004,光显示,封装键合良率控制能力,围绕封装、键合、转移与良率稳定控制的能力
KCAP_DISP_003,SUB_004,光显示,光学模组集成能力,围绕模组集成、校准与系统级整合的能力
KCAP_DISP_004,SUB_004,光显示,显示系统方案交付能力,围绕显示整机、方案落地与客户交付的能力
KCAP_DISP_005,SUB_004,光显示,微显示应用适配能力,围绕AR/VR、车载等微显示应用适配的能力
KCAP_COMP_001,SUB_005,光计算,光计算芯片架构设计能力,围绕光计算、光交换与片上架构设计的能力
KCAP_COMP_002,SUB_005,光计算,高速光互连集成能力,围绕高速互连、封装耦合与链路集成的能力
KCAP_COMP_003,SUB_005,光计算,光电混合系统协同能力,围绕光电混合计算系统协同设计与调优的能力
KCAP_COMP_004,SUB_005,光计算,系统级算力平台交付能力,围绕板级、机柜级与平台级交付的能力
KCAP_COMP_005,SUB_005,光计算,场景化算力适配能力,围绕AI集群、科学计算等场景适配的能力
KCAP_FUS_001,SUB_006,光融合（量子光学新原理）,量子光学原理实现能力,围绕量子光学新原理验证与实现的能力
KCAP_FUS_002,SUB_006,光融合（量子光学新原理）,超灵敏光学探测能力,围绕弱光、单光子、超灵敏探测实现的能力
KCAP_FUS_003,SUB_006,光融合（量子光学新原理）,新原理成像系统集成能力,围绕新原理成像/探测模组与系统集成的能力
KCAP_FUS_004,SUB_006,光融合（量子光学新原理）,科研平台产品化能力,围绕科研平台、高端仪器工程化与产品化的能力
KCAP_FUS_005,SUB_006,光融合（量子光学新原理）,前沿场景验证能力,围绕特种感知与前沿产业应用验证的能力
