start_id,start_label,end_id,end_label,relation_type,confidence,source
ENT_6B8742C937DE,Enterprise,STG_LA_007,ChainStage,LOCATED_IN_STAGE,0.90,enterprise_mapping_v1+legacy_enterprise_id_map
ENT_0EEE5F4580B9,Enterprise,STG_MV_007,ChainStage,LOCATED_IN_STAGE,0.84,enterprise_mapping_v1+legacy_enterprise_id_map
ENT_2E925683CAA7,Enterprise,STG_MV_008,ChainStage,LOCATED_IN_STAGE,0.79,enterprise_mapping_v1+legacy_enterprise_id_map
ENT_203143C4EA39,Enterprise,STG_OC_001,ChainStage,LOCATED_IN_STAGE,0.88,enterprise_mapping_v1+legacy_enterprise_id_map
ENT_E8D622C209F2,Enterprise,STG_MV_008,ChainStage,LOCATED_IN_STAGE,0.97,enterprise_mapping_v1+legacy_enterprise_id_map
ENT_0D0600D360F2,Enterprise,STG_OC_012,ChainStage,LOCATED_IN_STAGE,0.80,enterprise_mapping_v1+legacy_enterprise_id_map
ENT_48510E2FE34E,Enterprise,STG_OC_001,ChainStage,LOCATED_IN_STAGE,0.78,enterprise_mapping_v1+legacy_enterprise_id_map
ENT_09B9A1BA69E6,Enterprise,STG_MV_008,ChainStage,LOCATED_IN_STAGE,0.81,enterprise_mapping_v1+legacy_enterprise_id_map
ENT_D77802019100,Enterprise,STG_OC_012,ChainStage,LOCATED_IN_STAGE,0.72,enterprise_mapping_v1+legacy_enterprise_id_map
ENT_8C03F68046C7,Enterprise,STG_OC_009,ChainStage,LOCATED_IN_STAGE,0.95,enterprise_mapping_v1+legacy_enterprise_id_map
ENT_337B26DB83F2,Enterprise,STG_OC_003,ChainStage,LOCATED_IN_STAGE,0.84,manual_recheck_2026-05-13
ENT_337B26DB83F2,Enterprise,STG_OC_004,ChainStage,LOCATED_IN_STAGE,0.78,manual_recheck_2026-05-13
ENT_48510E2FE34E,Enterprise,STG_004_002,ChainStage,LOCATED_IN_STAGE,0.90,mainline_merge_from_expansion_2026-05-13
ENT_48510E2FE34E,Enterprise,STG_004_005,ChainStage,LOCATED_IN_STAGE,0.86,mainline_merge_from_expansion_2026-05-13
ENT_48510E2FE34E,Enterprise,STG_004_008,ChainStage,LOCATED_IN_STAGE,0.82,mainline_merge_from_expansion_2026-05-13
ENT_85CEF884C821,Enterprise,STG_004_001,ChainStage,LOCATED_IN_STAGE,0.84,mainline_merge_from_expansion_2026-05-13
ENT_85CEF884C821,Enterprise,STG_004_005,ChainStage,LOCATED_IN_STAGE,0.80,mainline_merge_from_expansion_2026-05-13
ENT_85CEF884C821,Enterprise,STG_004_010,ChainStage,LOCATED_IN_STAGE,0.78,mainline_merge_from_expansion_2026-05-13
ENT_713C5D501D82,Enterprise,STG_004_007,ChainStage,LOCATED_IN_STAGE,0.72,mainline_merge_from_expansion_2026-05-13
ENT_B30A7E91837E,Enterprise,STG_005_003,ChainStage,LOCATED_IN_STAGE,0.94,mainline_merge_from_expansion_2026-05-13
ENT_B30A7E91837E,Enterprise,STG_005_006,ChainStage,LOCATED_IN_STAGE,0.90,mainline_merge_from_expansion_2026-05-13
ENT_B30A7E91837E,Enterprise,STG_005_007,ChainStage,LOCATED_IN_STAGE,0.86,mainline_merge_from_expansion_2026-05-13
ENT_976F52DAD74D,Enterprise,STG_005_003,ChainStage,LOCATED_IN_STAGE,0.94,mainline_merge_from_expansion_2026-05-13
ENT_976F52DAD74D,Enterprise,STG_005_006,ChainStage,LOCATED_IN_STAGE,0.90,mainline_merge_from_expansion_2026-05-13
ENT_976F52DAD74D,Enterprise,STG_005_008,ChainStage,LOCATED_IN_STAGE,0.84,mainline_merge_from_expansion_2026-05-13
ENT_8A318E588779,Enterprise,STG_005_004,ChainStage,LOCATED_IN_STAGE,0.88,mainline_merge_from_expansion_2026-05-13
ENT_8A318E588779,Enterprise,STG_005_005,ChainStage,LOCATED_IN_STAGE,0.84,mainline_merge_from_expansion_2026-05-13
ENT_8A318E588779,Enterprise,STG_005_007,ChainStage,LOCATED_IN_STAGE,0.80,mainline_merge_from_expansion_2026-05-13
ENT_FF9D8CF6C436,Enterprise,STG_005_001,ChainStage,LOCATED_IN_STAGE,0.80,mainline_merge_from_expansion_2026-05-13
ENT_FF9D8CF6C436,Enterprise,STG_005_004,ChainStage,LOCATED_IN_STAGE,0.78,mainline_merge_from_expansion_2026-05-13
ENT_E1D3FB10F935,Enterprise,STG_005_002,ChainStage,LOCATED_IN_STAGE,0.76,mainline_merge_from_expansion_2026-05-13
ENT_E1D3FB10F935,Enterprise,STG_005_006,ChainStage,LOCATED_IN_STAGE,0.80,mainline_merge_from_expansion_2026-05-13
ENT_69AA5BA59175,Enterprise,STG_005_001,ChainStage,LOCATED_IN_STAGE,0.66,mainline_merge_from_expansion_2026-05-13
ENT_69AA5BA59175,Enterprise,STG_005_004,ChainStage,LOCATED_IN_STAGE,0.64,mainline_merge_from_expansion_2026-05-13
ENT_2E925683CAA7,Enterprise,STG_006_002,ChainStage,LOCATED_IN_STAGE,0.88,mainline_merge_from_expansion_2026-05-13
ENT_2E925683CAA7,Enterprise,STG_006_003,ChainStage,LOCATED_IN_STAGE,0.86,mainline_merge_from_expansion_2026-05-13
ENT_2E925683CAA7,Enterprise,STG_006_005,ChainStage,LOCATED_IN_STAGE,0.82,mainline_merge_from_expansion_2026-05-13
ENT_09B9A1BA69E6,Enterprise,STG_006_003,ChainStage,LOCATED_IN_STAGE,0.80,mainline_merge_from_expansion_2026-05-13
ENT_09B9A1BA69E6,Enterprise,STG_006_006,ChainStage,LOCATED_IN_STAGE,0.74,mainline_merge_from_expansion_2026-05-13
ENT_85CEF884C821,Enterprise,STG_006_002,ChainStage,LOCATED_IN_STAGE,0.72,mainline_merge_from_expansion_2026-05-13
ENT_E1D3FB10F935,Enterprise,STG_006_003,ChainStage,LOCATED_IN_STAGE,0.76,mainline_merge_from_expansion_2026-05-13
ENT_E1D3FB10F935,Enterprise,STG_006_004,ChainStage,LOCATED_IN_STAGE,0.74,mainline_merge_from_expansion_2026-05-13
ENT_0EEE5F4580B9,Enterprise,STG_006_003,ChainStage,LOCATED_IN_STAGE,0.74,mainline_merge_from_expansion_2026-05-13
ENT_0EEE5F4580B9,Enterprise,STG_006_004,ChainStage,LOCATED_IN_STAGE,0.72,mainline_merge_from_expansion_2026-05-13
ENT_7AB5E223A54E,Enterprise,STG_004_004,ChainStage,LOCATED_IN_STAGE,0.80,mainline_merge_from_expansion_2026-05-13
ENT_7AB5E223A54E,Enterprise,STG_004_008,ChainStage,LOCATED_IN_STAGE,0.78,mainline_merge_from_expansion_2026-05-13
ENT_3B054BB44E52,Enterprise,STG_OC_001,ChainStage,LOCATED_IN_STAGE,0.86,manual_confirm_row435_2026-05-13_pcsel
ENT_55A5BA7EA3A1,Enterprise,STG_005_003,ChainStage,LOCATED_IN_STAGE,0.88,manual_confirm_row436_2026-05-13
ENT_820799C93DF2,Enterprise,STG_LA_006,ChainStage,LOCATED_IN_STAGE,0.88,manual_confirm_row437_2026-05-13
ENT_BE5BD14432C5,Enterprise,STG_MV_008,ChainStage,LOCATED_IN_STAGE,0.84,manual_confirm_row438_2026-05-13
ENT_349BB97E2F8F,Enterprise,STG_LA_006,ChainStage,LOCATED_IN_STAGE,0.88,manual_confirm_row439_2026-05-13
ENT_349BB97E2F8F,Enterprise,STG_OC_007,ChainStage,LOCATED_IN_STAGE,0.86,manual_confirm_row440_2026-05-13
ENT_5F08A525F9F8,Enterprise,STG_004_006,ChainStage,LOCATED_IN_STAGE,0.88,manual_recheck_row441_2026-05-13_near_eye
ENT_5F08A525F9F8,Enterprise,STG_004_008,ChainStage,LOCATED_IN_STAGE,0.84,manual_recheck_row441_2026-05-13_near_eye
ENT_FC7390DC8671,Enterprise,STG_OC_001,ChainStage,LOCATED_IN_STAGE,0.86,manual_confirm_row442_2026-05-13_vcsel
ENT_1E3C66B8BCA5,Enterprise,STG_LA_007,ChainStage,LOCATED_IN_STAGE,0.84,manual_recheck_row443_2026-05-13_optical_payload
ENT_9C2619693684,Enterprise,STG_LA_007,ChainStage,LOCATED_IN_STAGE,0.85,manual_confirm_row444_2026-05-13_equipment
