legacy_capability_id,legacy_capability_name,candidate_key_capability_id,candidate_key_capability_name,sub_track_hint,confidence,review_status,review_notes
CAP_42EFAAE43C01,超快激光精密焊接技术（异质材料焊接,KCAP_LA_001,激光工艺适配能力,激光加工/光学装备,0.93,候选待复核,高置信可直接确认
CAP_6D7813CF73A8,特种材料超精密3D成形,KCAP_LA_002,高精度加工控制能力,激光加工/光学装备,0.72,候选待复核,偏加工控制能力
CAP_0C87AB04E79B,单曝光压缩成像技术（AI+计算成像,KCAP_MV_001,成像方案设计能力,光学检测/机器视觉,0.86,候选待复核,计算成像方案能力
CAP_59713B98F245,光学编码+AI算法,KCAP_MV_002,高精度检测算法能力,光学检测/机器视觉,0.82,候选待复核,算法能力明确
CAP_8B4BE451B994,压缩采集重建）,KCAP_MV_002,高精度检测算法能力,光学检测/机器视觉,0.80,候选待复核,重建算法能力
CAP_80001ABB49CF,仿人光学成像,KCAP_MV_001,成像方案设计能力,光学检测/机器视觉,0.88,候选待复核,成像链路能力
CAP_6D1F01947C46,时间门控成像,KCAP_MV_001,成像方案设计能力,光学检测/机器视觉,0.79,候选待复核,特种成像方案
CAP_3B9CB9716396,单光子探测,KCAP_MV_001,成像方案设计能力,光学检测/机器视觉,0.76,候选待复核,特种探测方案
CAP_8B9A8F9F1CC3,皮秒级时间分辨,KCAP_MV_001,成像方案设计能力,光学检测/机器视觉,0.76,候选待复核,设备级成像能力
CAP_5572D2D87618,激光穿透成像,KCAP_MV_001,成像方案设计能力,光学检测/机器视觉,0.74,候选待复核,特种成像方案
CAP_69F6886D8BB6,工业外观精密检测技术,KCAP_MV_002,高精度检测算法能力,光学检测/机器视觉,0.95,候选待复核,可高置信确认
CAP_0F3B55159090,机器视觉,KCAP_MV_002,高精度检测算法能力,光学检测/机器视觉,0.88,候选待复核,口径较宽需人工确认
CAP_D8E5AC640CB0,红外热像技术,KCAP_MV_001,成像方案设计能力,光学检测/机器视觉,0.81,候选待复核,红外成像方案
CAP_38A7F1216D7F,片上光电集成芯片技术（片上计量级光谱仪,KCAP_OC_001,高速模块设计能力,光通信/光模块,0.73,候选待复核,偏上游芯片设计
CAP_817AFD09475F,光谱分析探测芯片,KCAP_OC_001,高速模块设计能力,光通信/光模块,0.60,候选待复核,置信度较低
CAP_79C82F79C209,晶体外延技术,KCAP_OC_001,高速模块设计能力,光通信/光模块,0.70,候选待复核,上游工艺能力
CAP_9FFC7780572E,高精度晶圆键合,KCAP_OC_001,高速模块设计能力,光通信/光模块,0.73,候选待复核,芯片制造相关
CAP_53989F81C252,通信光交换芯片,KCAP_OC_001,高速模块设计能力,光通信/光模块,0.74,候选待复核,芯片/模块设计能力
CAP_EF3E49F92822,COS测试机,KCAP_OC_004,高速测试能力,光通信/光模块,0.95,候选待复核,后道测试明确
CAP_7810A3F4D87C,COC老化机,KCAP_OC_003,封装良率控制能力,光通信/光模块,0.91,候选待复核,封装良率支撑
CAP_B8A08F359365,具体产品光路耦合机,KCAP_OC_003,封装良率控制能力,光通信/光模块,0.90,候选待复核,耦合工艺支撑
CAP_30020510ED69,贴片机等,KCAP_OC_005,规模制造与交付能力,光通信/光模块,0.72,候选待复核,制造支撑能力
CAP_922213104E53,精密驱动技术,KCAP_LA_002,高精度加工控制能力,激光加工/光学装备,0.70,候选待复核,精密执行控制
CAP_2E9ECD7C223D,空间微振动控制技术,KCAP_LA_002,高精度加工控制能力,激光加工/光学装备,0.70,候选待复核,微振动控制能力
